,istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,theta,a_input,inlc
0,,,,,,,,,,,3200.0,0.08726646259971647,0.25,0.08726646259971647
0,,,,,,,,,,,3200.0,0.08726646259971647,0.25,0.08726646259971647
0,731,742,,,10.597374179431071,10.741794310722101,1204.931717162867,80.40653606268101,0.15244013393327194,0.14442013129102982,3200.0,29.999999999999996,0.25,5.0
0,730,742,,,10.584245076586432,10.741794310722101,1611.9240471476194,85.86120416518317,0.21071648827254852,0.15754923413566857,3200.0,45.0,0.25,5.0
0,731,741,,,10.597374179431071,10.72866520787746,1753.4993087813891,81.64235104203902,0.20907629230901548,0.1312910284463893,3200.0,59.99999999999999,0.25,5.0
0,729,747,,,10.571115973741794,10.807439824945295,2576.465260112467,103.90013647676425,0.23582618166971092,0.23632385120350108,3200.0,85.0,0.25,5.0
0,732,737,,,10.61050328227571,10.676148796498905,468.7425727815297,54.785667330551384,0.08954478522897791,0.06564551422319553,3200.0,5.0,0.5,5.0
0,734,738,,,10.63676148796499,10.689277899343544,550.6156004910598,50.76753673395043,0.13410304634769954,0.052516411378555006,3200.0,10.0,0.5,5.0
0,730,745,,,10.584245076586432,10.781181619256017,2582.8722395541627,97.60331837386059,0.3119471869689252,0.19693654266958482,3200.0,29.999999999999996,0.5,5.0
0,729,755,,,10.571115973741794,10.912472647702407,4221.706064073261,123.13114342180656,0.33378491277275435,0.34135667396061287,3200.0,45.0,0.5,5.0
0,729,754,,,10.571115973741794,10.899343544857768,5586.888870186282,128.8227831797031,0.43603789418540906,0.3282275711159741,3200.0,59.99999999999999,0.5,5.0
0,729,756,,,10.571115973741794,10.925601750547045,6545.296903295108,137.41370344653612,0.4938028978863491,0.3544857768052516,3200.0,85.0,0.5,5.0
1,760,767,,,10.978118161925602,11.070021881838073,648.2809350085697,64.08091615111715,0.11824641948473724,0.09190371991247126,3200.0,85.0,0.5,5.0
0,731,741,,,10.597374179431071,10.72866520787746,1764.3705545540543,81.325214275709,0.2309193231838127,0.1312910284463893,3200.0,5.0,1.0,5.0
0,730,745,,,10.584245076586432,10.781181619256017,2450.6231431006313,96.51545804438638,0.27869254888552586,0.19693654266958482,3200.0,10.0,1.0,5.0
0,730,763,,,10.584245076586432,11.017505470459518,6932.952706963844,142.70798666661668,0.5476736481412392,0.4332603938730859,3200.0,29.999999999999996,1.0,5.0
0,729,770,,,10.571115973741794,11.109409190371991,10227.792153525766,165.26034615487737,0.6855393139469703,0.5382932166301977,3200.0,45.0,1.0,5.0
1,774,777,,,11.161925601750546,11.201312910284464,240.78683600339053,41.98548210615573,0.07836298506473738,0.03938730853391803,3200.0,45.0,1.0,5.0
