a_input,ampl_rec,cstart,cstop,dur,ed_rec,ed_rec_err,inlc,istart,istop,theta,total_n_valid_data_points,tstart,tstop,Protratio,phi0
0.5,0.096135889616698,,,0.039387308533916,277.456344278619,42.2505936911902,81,755,758,45,3200,10.9124726477024,10.9518599562363,0.098468271334791,1.4
0.5,0.07644307140083,,,0.052516411378555,330.205363391285,48.6040445311893,86,752,756,60,3200,10.8730853391685,10.925601750547,0.131291028446388,1.4
0.5,0.118891375239023,,,0.065645514223194,528.614267385388,54.9644569030532,56,751,756,5,3200,10.8599562363239,10.925601750547,0.164113785557984,1.4
0.5,0.134415454038301,,,0.065645514223194,640.197292166495,55.772862516334,86,751,756,5,3200,10.8599562363239,10.925601750547,0.164113785557984,1.4
0.5,0.086058194087387,,,0.039387308533916,257.594829295941,42.1021212082415,86,751,754,60,3200,10.8599562363239,10.8993435448578,0.098468271334791,7.4
0.5,0.113658640546658,,,0.065645514223196,586.112066750977,55.8444929913126,81,750,755,5,3200,10.8468271334792,10.9124726477024,0.164113785557989,1.4
1,0.128859515915474,,,0.078774617067834,805.942118753478,62.0565379447605,86,750,756,60,3200,10.8468271334792,10.925601750547,0.196936542669586,1.4
0.5,0.111335408270237,,,0.091903719912473,656.560265182429,64.0298348713309,39,749,756,5,3200,10.8336980306346,10.925601750547,0.229759299781183,1.4
0.5,0.130286652025055,,,0.065645514223196,507.255813526183,54.1914318999503,86,749,754,10,3200,10.8336980306346,10.8993435448578,0.164113785557989,1.4
0.5,0.142102709868701,,,0.078774617067834,683.84286537935,60.2024805958701,24,749,755,30,3200,10.8336980306346,10.9124726477024,0.196936542669586,1.4
0.5,0.136284858084174,,,0.091903719912473,873.772476951301,65.4845895013146,81,749,756,30,3200,10.8336980306346,10.925601750547,0.229759299781183,1.4
0.5,0.093486452710725,,,0.039387308533918,256.408746471491,41.8205485963654,86,749,752,45,3200,10.8336980306346,10.8730853391685,0.098468271334795,1.4
1,0.174239763837599,,,0.118161925601751,1400.17767642134,76.4785504758758,86,749,758,45,3200,10.8336980306346,10.9518599562363,0.295404814004376,1.4
0.5,0.109155802203817,,,0.065645514223196,539.091966970769,55.2892856068898,39,749,754,5,3200,10.8336980306346,10.8993435448578,0.164113785557989,7.4
0.5,0.10472119258011,,,0.078774617067834,576.133696373261,59.8713814795505,86,749,755,45,3200,10.8336980306346,10.9124726477024,0.196936542669586,7.4
0.5,0.121601743051142,,,0.078774617067834,624.948892600014,59.5983363150852,56,748,754,10,3200,10.8205689277899,10.8993435448578,0.196936542669586,1.4
0.5,0.137045424732267,,,0.118161925601751,977.514617756798,73.2322847969601,81,748,757,10,3200,10.8205689277899,10.9387308533917,0.295404814004376,1.4
1,0.202363968419198,,,0.144420131291028,1927.99580072266,85.5912151039077,81,748,759,10,3200,10.8205689277899,10.964989059081,0.36105032822757,1.4
