a_input,ampl_rec,cstart,cstop,dur,ed_rec,ed_rec_err,inlc,istart,istop,theta,total_n_valid_data_points,tstart,tstop,Protratio,phi0
0.5,0.103208252027417,,,0.131291028446389,891.587178686304,76.542576465007,39,748,758,30,3200,10.8205689277899,10.9518599562363,0.328227571115973,1.4
0.5,0.125630268485054,,,0.118161925601751,957.260306826551,73.5112846664791,86,748,757,30,3200,10.8205689277899,10.9387308533917,0.295404814004376,1.4
1,0.147235654234353,,,0.091903719912473,890.967133749299,65.7541137838699,81,748,755,60,3200,10.8205689277899,10.9124726477024,0.229759299781183,1.4
0.5,0.131279416537034,,,0.078774617067834,730.762461774793,61.2160304372247,81,748,754,10,3200,10.8205689277899,10.8993435448578,0.196936542669586,7.4
0.5,0.138565772683778,,,0.105032822757112,834.968466232906,68.6285972951802,24,748,756,30,3200,10.8205689277899,10.925601750547,0.26258205689278,7.4
0.5,0.102295430647169,,,0.065645514223196,471.497567401796,54.4726832784345,81,748,753,60,3200,10.8205689277899,10.8862144420131,0.164113785557989,7.4
1,0.14045438261581,,,0.065645514223196,631.615740686813,56.0749075960187,86,748,753,60,3200,10.8205689277899,10.8862144420131,0.164113785557989,7.4
1,0.115950910085471,,,0.157549234135667,1235.42948549519,84.8994831498219,24,747,759,5,3200,10.8074398249453,10.964989059081,0.393873085339167,1.4
1,0.153979436200009,,,0.118161925601751,1209.74720042895,75.7095178579653,39,747,756,5,3200,10.8074398249453,10.925601750547,0.295404814004376,1.4
1,0.176375068147688,,,0.131291028446389,1656.66269133489,81.2419553324879,56,747,757,5,3200,10.8074398249453,10.9387308533917,0.328227571115973,1.4
1,0.235107354474237,,,0.144420131291028,1743.84428537354,83.5303347490225,81,747,758,5,3200,10.8074398249453,10.9518599562363,0.36105032822757,1.4
1,0.236890238766185,,,0.157549234135667,2141.23204212064,89.0063255250821,86,747,759,5,3200,10.8074398249453,10.964989059081,0.393873085339167,1.4
1,0.17338680950323,,,0.157549234135667,1755.6446470906,87.555571711828,56,747,759,10,3200,10.8074398249453,10.964989059081,0.393873085339167,1.4
1,0.203193917597745,,,0.157549234135667,1972.56796531374,87.7782875806979,86,747,759,10,3200,10.8074398249453,10.964989059081,0.393873085339167,1.4
0.5,0.13603114803686,,,0.131291028446389,1091.40615099161,77.1550459671566,56,747,757,30,3200,10.8074398249453,10.9387308533917,0.328227571115973,1.4
1,0.174849661047923,,,0.144420131291028,1562.43534010506,83.0244446585874,81,747,758,45,3200,10.8074398249453,10.9518599562363,0.36105032822757,1.4
0.5,0.150020976240996,,,0.118161925601751,1048.2354162822,73.9023954196684,81,747,756,5,3200,10.8074398249453,10.925601750547,0.295404814004376,7.4
0.5,0.144252190295862,,,0.078774617067834,717.970595852974,60.1733052576756,86,747,753,5,3200,10.8074398249453,10.8862144420131,0.196936542669586,7.4
0.5,0.140642643258154,,,0.105032822757112,890.962426656285,69.2479942268135,56,747,755,10,3200,10.8074398249453,10.9124726477024,0.26258205689278,7.4
0.5,0.112439084244119,,,0.105032822757112,914.673559026565,70.4282582797929,86,747,755,10,3200,10.8074398249453,10.9124726477024,0.26258205689278,7.4
0.5,0.141470215696495,,,0.131291028446389,1085.11277260772,76.8015445053805,81,747,757,30,3200,10.8074398249453,10.9387308533917,0.328227571115973,7.4
0.5,0.110973728824591,,,0.131291028446389,971.112961719157,77.0239334490808,86,747,757,30,3200,10.8074398249453,10.9387308533917,0.328227571115973,7.4
1,0.136254337465885,,,0.183807439824946,1545.08261686961,91.5440803113454,24,746,760,10,3200,10.7943107221007,10.9781181619256,0.459518599562365,1.4
1,0.201392672683007,,,0.183807439824946,1824.84502202978,92.3026918157932,39,746,760,10,3200,10.7943107221007,10.9781181619256,0.459518599562365,1.4
1,0.193569464963307,,,0.183807439824946,2115.90909103221,93.5842779743206,81,746,760,30,3200,10.7943107221007,10.9781181619256,0.459518599562365,1.4
0.5,0.152024169903374,,,0.078774617067834,731.606735531124,60.4542769750339,56,746,752,45,3200,10.7943107221007,10.8730853391685,0.196936542669586,1.4
0.5,0.107052584654975,,,0.118161925601751,823.605288505625,72.7949433105736,56,746,755,5,3200,10.7943107221007,10.9124726477024,0.295404814004376,7.4
1,0.115027785801789,,,0.131291028446389,1081.59926295706,77.8308465515202,24,746,756,5,3200,10.7943107221007,10.925601750547,0.328227571115973,7.4
1,0.223264439806974,,,0.157549234135667,2076.40715314543,88.5062862206401,56,746,758,5,3200,10.7943107221007,10.9518599562363,0.393873085339167,7.4
1,0.24097248326018,,,0.144420131291028,2207.08668877493,87.4904152740291,81,746,757,10,3200,10.7943107221007,10.9387308533917,0.36105032822757,7.4
0.5,0.138496588416062,,,0.118161925601751,1144.56262081948,74.8047114406577,56,746,755,30,3200,10.7943107221007,10.9124726477024,0.295404814004376,7.4
0.5,0.146117824726816,,,0.144420131291028,1340.6622792945,82.1803963798125,56,746,757,45,3200,10.7943107221007,10.9387308533917,0.36105032822757,7.4
0.5,0.084656251297443,,,0.052516411378555,354.027041408968,48.8466544761277,81,746,750,45,3200,10.7943107221007,10.8468271334792,0.131291028446388,7.4
1,0.189754399188573,,,0.157549234135667,1589.26536342041,85.1787009601503,86,746,758,45,3200,10.7943107221007,10.9518599562363,0.393873085339167,7.4
2,0.340807201324781,,,0.223194748358862,4163.16924588722,110.370554882935,81,745,762,5,3200,10.781181619256,11.0043763676149,0.557986870897156,1.4
2,0.388957581300365,,,0.223194748358862,4092.62946261594,109.759882406655,86,745,762,5,3200,10.781181619256,11.0043763676149,0.557986870897156,1.4
2,0.348350442779484,,,0.210065645514224,4044.1372473012,107.256742144156,86,745,761,10,3200,10.781181619256,10.9912472647702,0.525164113785559,1.4
1,0.19739362816005,,,0.210065645514224,2394.09148781082,99.7934772667012,56,745,761,30,3200,10.781181619256,10.9912472647702,0.525164113785559,1.4
1,0.163098095002804,,,0.170678336980306,1877.53398860864,90.9593233881621,86,745,758,30,3200,10.781181619256,10.9518599562363,0.426695842450764,1.4
2,0.315588577491305,,,0.210065645514224,3798.55308934768,106.381796097124,86,745,761,30,3200,10.781181619256,10.9912472647702,0.525164113785559,1.4
2,0.267228121124956,,,0.196936542669585,3187.5484733072,102.381274558677,86,745,760,45,3200,10.781181619256,10.9781181619256,0.492341356673962,1.4
1,0.16846395191137,,,0.170678336980306,1679.63283719553,89.3667523707201,39,745,758,5,3200,10.781181619256,10.9518599562363,0.426695842450764,7.4
1,0.222772659249673,,,0.183807439824944,2235.26526953136,93.509830475254,81,745,759,5,3200,10.781181619256,10.964989059081,0.459518599562361,7.4
1,0.21207248577929,,,0.170678336980306,2305.06567752778,93.1716734563195,86,745,758,5,3200,10.781181619256,10.9518599562363,0.426695842450764,7.4
1,0.12475406811609,,,0.157549234135667,1354.1436053449,85.4321015256813,24,745,757,10,3200,10.781181619256,10.9387308533917,0.393873085339167,7.4
1,0.198138612096894,,,0.183807439824944,2347.35888432328,95.6651999886725,56,745,759,10,3200,10.781181619256,10.964989059081,0.459518599562361,7.4
1,0.197115818965902,,,0.144420131291028,1846.11289756843,84.2536319837875,86,745,756,30,3200,10.781181619256,10.925601750547,0.36105032822757,7.4
1,0.193284065507599,,,0.157549234135667,1848.20137405305,87.6764631238857,81,745,757,45,3200,10.781181619256,10.9387308533917,0.393873085339167,7.4
2,0.274722555491325,,,0.223194748358862,3130.34585925191,105.176880845591,39,744,761,5,3200,10.7680525164114,10.9912472647702,0.557986870897156,1.4
2,0.285899810503354,,,0.236323851203501,3737.77447049194,109.644876580905,56,744,762,5,3200,10.7680525164114,11.0043763676149,0.590809628008753,1.4
2,0.337092479469655,,,0.236323851203501,4184.80182000287,112.158185373778,56,744,762,10,3200,10.7680525164114,11.0043763676149,0.590809628008753,1.4
2,0.349056665249819,,,0.223194748358862,4220.64318160942,109.969210535244,81,744,761,10,3200,10.7680525164114,10.9912472647702,0.557986870897156,1.4
2,0.351335853686555,,,0.223194748358862,4064.73010779999,110.250479949381,81,744,761,30,3200,10.7680525164114,10.9912472647702,0.557986870897156,1.4
1,0.2107156920726,,,0.196936542669583,2696.69307819264,100.153059419505,56,744,759,45,3200,10.7680525164114,10.964989059081,0.492341356673958,1.4
2,0.328781588827574,,,0.210065645514224,3940.09461470417,107.797722598237,56,744,760,5,3200,10.7680525164114,10.9781181619256,0.525164113785559,7.4
1,0.167006359751684,,,0.183807439824944,1921.07018358817,93.2978907441371,39,744,758,10,3200,10.7680525164114,10.9518599562363,0.459518599562361,7.4
1,0.214350793948909,,,0.183807439824944,2267.43810947657,94.0392390632158,86,744,758,10,3200,10.7680525164114,10.9518599562363,0.459518599562361,7.4
2,0.403852435587713,,,0.210065645514224,4291.61524300694,108.957637733909,81,744,760,10,3200,10.7680525164114,10.9781181619256,0.525164113785559,7.4
1,0.219938608394812,,,0.210065645514224,2701.82978719407,101.068934994628,39,744,760,30,3200,10.7680525164114,10.9781181619256,0.525164113785559,7.4
1,0.245243287763652,,,0.210065645514224,2744.45133146505,101.079949545298,56,744,760,30,3200,10.7680525164114,10.9781181619256,0.525164113785559,7.4
1,0.241304804782376,,,0.183807439824944,2378.16334015935,94.5809977856613,81,744,758,30,3200,10.7680525164114,10.9518599562363,0.459518599562361,7.4
1,0.155738787594505,,,0.170678336980306,1759.61661410943,89.8768701687022,81,744,757,60,3200,10.7680525164114,10.9387308533917,0.426695842450764,7.4
0.25,0.085820024863799,,,0.039387308533916,247.205442399614,41.8902830346942,56,744,747,10,3200,10.7680525164114,10.8074398249453,0.098468271334791,-0.4
1,0.188536800170865,,,0.236323851203501,2711.80192919491,106.697305205653,39,743,761,30,3200,10.7549234135667,10.9912472647702,0.590809628008753,1.4
2,0.308192730830346,,,0.24945295404814,3890.92724340035,113.312897117146,81,743,762,45,3200,10.7549234135667,11.0043763676149,0.62363238512035,1.4
2,0.377722639269297,,,0.223194748358862,4376.95449370394,110.934925033275,81,743,760,5,3200,10.7549234135667,10.9781181619256,0.557986870897156,7.4
2,0.372348769905545,,,0.210065645514222,4357.58354860287,109.584393972106,86,743,759,5,3200,10.7549234135667,10.964989059081,0.525164113785555,7.4
0.5,0.13308369694926,,,0.144420131291028,1241.74447684098,81.2745857354486,39,743,754,30,3200,10.7549234135667,10.8993435448578,0.36105032822757,7.4
2,0.342086535745357,,,0.223194748358862,4228.61234895099,110.037763630981,81,743,760,30,3200,10.7549234135667,10.9781181619256,0.557986870897156,7.4
2,0.324556641852418,,,0.223194748358862,3993.77813986888,108.767392567547,86,743,760,30,3200,10.7549234135667,10.9781181619256,0.557986870897156,7.4
1,0.211085080297103,,,0.210065645514222,2984.24514214334,104.734552688616,56,743,759,45,3200,10.7549234135667,10.964989059081,0.525164113785555,7.4
0.25,0.134853519859788,,,0.052516411378555,472.229210438667,49.3469066375423,56,743,747,30,3200,10.7549234135667,10.8074398249453,0.131291028446388,-0.4
2,0.298191584538138,,,0.262582056892779,3780.68810728545,114.69827916465,39,742,762,10,3200,10.7417943107221,11.0043763676149,0.656455142231946,1.4
2,0.223232599768616,,,0.24945295404814,3241.70113784507,111.971064013425,86,742,761,60,3200,10.7417943107221,10.9912472647702,0.62363238512035,1.4
2,0.267433605342519,,,0.22319474835886,3510.5732377111,108.842854672828,39,742,759,5,3200,10.7417943107221,10.964989059081,0.557986870897151,7.4
2,0.369941923613503,,,0.236323851203501,4445.60290944756,113.652361538192,56,742,760,10,3200,10.7417943107221,10.9781181619256,0.590809628008753,7.4
2,0.355565862729005,,,0.236323851203501,4278.55768144489,112.04387464046,86,742,760,10,3200,10.7417943107221,10.9781181619256,0.590809628008753,7.4
0.5,0.137478844290959,,,0.144420131291028,1374.09507549719,82.9517942993705,39,742,753,45,3200,10.7417943107221,10.8862144420131,0.36105032822757,7.4
2,0.298531505050517,,,0.22319474835886,4086.74040379385,111.479948772759,81,742,759,45,3200,10.7417943107221,10.964989059081,0.557986870897151,7.4
0.5,0.138790582606388,,,0.157549234135667,1351.67940538579,85.1112756009762,56,742,754,60,3200,10.7417943107221,10.8993435448578,0.393873085339167,7.4
0.25,0.112649872709526,,,0.039387308533916,342.601059140056,43.0261089539304,86,742,745,5,3200,10.7417943107221,10.781181619256,0.098468271334791,-0.4
0.25,0.134813687979597,,,0.065645514223194,540.782345596651,54.5333191670881,86,742,747,10,3200,10.7417943107221,10.8074398249453,0.164113785557984,-0.4
2,0.287517206321208,,,0.249452954048142,3930.14751500199,113.270798849769,39,741,760,10,3200,10.7286652078775,10.9781181619256,0.623632385120354,7.4
2,0.301270352880863,,,0.249452954048142,3910.191513612,112.355189499021,86,741,760,45,3200,10.7286652078775,10.9781181619256,0.623632385120354,7.4
0.25,0.106250684498092,,,0.039387308533918,294.861249454805,42.3244084436001,86,741,744,45,3200,10.7286652078775,10.7680525164114,0.098468271334795,-0.4
0.25,0.090877818786732,,,0.039387308533918,268.373264044441,42.1316434725634,81,741,744,60,3200,10.7286652078775,10.7680525164114,0.098468271334795,-0.4
0.25,0.138426592672252,,,0.052516411378557,448.494987874772,48.6951217555211,86,740,744,45,3200,10.7155361050328,10.7680525164114,0.131291028446392,5.4
0.25,0.112977517450225,,,0.078774617067834,661.597306693408,60.6177569757432,81,740,746,30,3200,10.7155361050328,10.7943107221007,0.196936542669586,-0.4
0.25,0.120170477483434,,,0.078774617067834,631.088645150483,60.2092742980174,86,740,746,30,3200,10.7155361050328,10.7943107221007,0.196936542669586,-0.4
0.5,0.125300894111154,,,0.105032822757112,881.185898285381,69.5365063974168,86,740,748,60,3200,10.7155361050328,10.8205689277899,0.26258205689278,-0.4
0.25,0.082840687778793,,,0.052516411378557,337.138293047092,48.6612589175342,86,739,743,60,3200,10.7024070021882,10.7549234135667,0.131291028446392,5.4
0.25,0.112017317036727,,,0.078774617067834,578.907808854097,59.7111372166649,56,739,745,5,3200,10.7024070021882,10.781181619256,0.196936542669586,-0.4
0.5,0.126884868507385,,,0.065645514223196,621.361652285229,55.5222731319568,24,739,744,5,3200,10.7024070021882,10.7680525164114,0.164113785557989,-0.4
0.5,0.167081676438054,,,0.144420131291028,1482.08420208321,83.3621894567263,56,739,750,5,3200,10.7024070021882,10.8468271334792,0.36105032822757,-0.4
0.5,0.203672086841201,,,0.118161925601751,1685.35341804973,78.5531926936177,81,739,748,5,3200,10.7024070021882,10.8205689277899,0.295404814004376,-0.4
0.25,0.139273289858415,,,0.105032822757112,935.102893598821,70.0925148910739,81,739,747,10,3200,10.7024070021882,10.8074398249453,0.26258205689278,-0.4
0.5,0.125746759612521,,,0.105032822757112,929.17762168378,70.1004649760206,24,739,747,10,3200,10.7024070021882,10.8074398249453,0.26258205689278,-0.4
0.25,0.102426700281238,,,0.052516411378557,408.657098810399,49.2770629971167,39,738,742,5,3200,10.6892778993435,10.7417943107221,0.131291028446392,5.4
0.25,0.119546427852776,,,0.105032822757112,880.201244881195,69.5504125520187,81,738,746,5,3200,10.6892778993435,10.7943107221007,0.26258205689278,5.4
0.25,0.120263104285647,,,0.118161925601751,919.914212816841,73.449143971376,86,738,747,30,3200,10.6892778993435,10.8074398249453,0.295404814004376,5.4
0.5,0.158837138945503,,,0.144420131291028,1339.2113387245,81.666242438852,39,738,749,5,3200,10.6892778993435,10.8336980306346,0.36105032822757,-0.4
0.5,0.182780586714736,,,0.157549234135667,1868.89063274186,87.7209327306356,86,738,750,5,3200,10.6892778993435,10.8468271334792,0.393873085339167,-0.4
0.5,0.192151891653549,,,0.144420131291028,1766.0965742997,84.5440111159249,56,738,749,10,3200,10.6892778993435,10.8336980306346,0.36105032822757,-0.4
0.5,0.180528052994633,,,0.144420131291028,1754.11371527158,84.4383214251537,81,738,749,10,3200,10.6892778993435,10.8336980306346,0.36105032822757,-0.4
0.5,0.211982211274613,,,0.157549234135667,1873.34669681242,87.0792362507754,86,738,750,10,3200,10.6892778993435,10.8468271334792,0.393873085339167,-0.4
0.5,0.200658274744841,,,0.144420131291028,1661.5236465628,83.0209480939702,81,738,749,30,3200,10.6892778993435,10.8336980306346,0.36105032822757,-0.4
0.5,0.179442708106222,,,0.144420131291028,1633.60992030024,83.4742913755161,86,738,749,30,3200,10.6892778993435,10.8336980306346,0.36105032822757,-0.4
0.25,0.127073522406864,,,0.118161925601751,958.879779716816,73.3380957105131,56,737,746,5,3200,10.6761487964989,10.7943107221007,0.295404814004376,5.4
0.25,0.150842369863849,,,0.118161925601751,1162.22338118508,74.249383980978,86,737,746,5,3200,10.6761487964989,10.7943107221007,0.295404814004376,5.4
0.25,0.129089630154041,,,0.078774617067834,685.567708663789,60.3354795342067,56,737,743,10,3200,10.6761487964989,10.7549234135667,0.196936542669586,5.4
0.25,0.116405201945281,,,0.105032822757112,865.476689237522,69.6132988858649,81,737,745,30,3200,10.6761487964989,10.781181619256,0.26258205689278,5.4
0.25,0.114779056557645,,,0.105032822757112,772.490187285785,68.348670715288,81,737,745,45,3200,10.6761487964989,10.781181619256,0.26258205689278,5.4
1,0.343236640590998,,,0.183807439824946,3777.01033283498,102.810296068577,81,737,751,5,3200,10.6761487964989,10.8599562363239,0.459518599562365,-0.4
1,0.349732994640295,,,0.183807439824946,3862.1360803737,103.083028281134,86,737,751,5,3200,10.6761487964989,10.8599562363239,0.459518599562365,-0.4
0.5,0.147321382433365,,,0.144420131291028,1332.28826263365,81.6904387948451,39,737,748,10,3200,10.6761487964989,10.8205689277899,0.36105032822757,-0.4
1,0.361818919877843,,,0.183807439824946,3785.48734694942,102.798631824844,81,737,751,10,3200,10.6761487964989,10.8599562363239,0.459518599562365,-0.4
1,0.343681109886977,,,0.196936542669585,3893.94429543256,104.911013493803,86,737,752,10,3200,10.6761487964989,10.8730853391685,0.492341356673962,-0.4
0.25,0.128546863264915,,,0.144420131291028,1122.26136980787,80.8447000275286,39,737,748,30,3200,10.6761487964989,10.8205689277899,0.36105032822757,-0.4
0.5,0.191056625441001,,,0.170678336980306,2175.42169689974,92.9566024678502,56,737,750,30,3200,10.6761487964989,10.8468271334792,0.426695842450764,-0.4
1,0.331705069195505,,,0.196936542669585,3667.34682132664,103.290532708436,81,737,752,30,3200,10.6761487964989,10.8730853391685,0.492341356673962,-0.4
0.5,0.139284325698253,,,0.157549234135667,1481.71720063514,85.8304772413112,81,737,749,45,3200,10.6761487964989,10.8336980306346,0.393873085339167,-0.4
0.5,0.164176057233351,,,0.157549234135667,1513.22857019177,85.7526689792752,86,737,749,45,3200,10.6761487964989,10.8336980306346,0.393873085339167,-0.4
0.5,0.130368191120749,,,0.144420131291028,1158.73506448376,80.5330238273166,81,737,748,60,3200,10.6761487964989,10.8205689277899,0.36105032822757,-0.4
0.5,0.144918366809379,,,0.118161925601751,1018.12489670723,72.9836112939071,24,736,745,5,3200,10.6630196936543,10.781181619256,0.295404814004376,5.4
0.5,0.182533570121913,,,0.157549234135667,1883.12648148212,87.9903529668905,39,736,748,5,3200,10.6630196936543,10.8205689277899,0.393873085339167,5.4
0.5,0.233838358903979,,,0.170678336980306,2487.7420675406,93.6672066857482,81,736,749,5,3200,10.6630196936543,10.8336980306346,0.426695842450764,5.4
0.5,0.240144973077901,,,0.157549234135667,2305.17062251051,90.0580939357262,86,736,748,5,3200,10.6630196936543,10.8205689277899,0.393873085339167,5.4
0.25,0.103566075617551,,,0.091903719912473,651.018408402099,64.4658028759112,39,736,743,10,3200,10.6630196936543,10.7549234135667,0.229759299781183,5.4
0.25,0.151342254694817,,,0.118161925601751,1090.29471729741,73.6658309511588,81,736,745,10,3200,10.6630196936543,10.781181619256,0.295404814004376,5.4
0.25,0.131691602404625,,,0.131291028446389,1098.91742489281,78.0511091969666,86,736,746,10,3200,10.6630196936543,10.7943107221007,0.328227571115973,5.4
0.5,0.25838790000423,,,0.157549234135667,2328.01686647019,90.2455801455333,81,736,748,10,3200,10.6630196936543,10.8205689277899,0.393873085339167,5.4
0.25,0.116339852358898,,,0.039387308533916,301.926538635579,41.9758617508498,6,736,739,30,3200,10.6630196936543,10.7024070021882,0.098468271334791,5.4
0.25,0.126224135815756,,,0.118161925601751,969.2906036223,73.6857660834284,39,736,745,30,3200,10.6630196936543,10.781181619256,0.295404814004376,5.4
0.5,0.240095347417095,,,0.157549234135667,2194.28524838797,89.3033478046406,81,736,748,30,3200,10.6630196936543,10.8205689277899,0.393873085339167,5.4
0.25,0.150790565675662,,,0.144420131291028,1395.0355552319,82.5722282932993,56,736,747,45,3200,10.6630196936543,10.8074398249453,0.36105032822757,5.4
0.5,0.182794476875546,,,0.131291028446389,1492.05830185463,79.3364288429064,86,736,746,45,3200,10.6630196936543,10.7943107221007,0.328227571115973,5.4
0.5,0.140528767964018,,,0.131291028446389,1285.94811836604,79.0665299385397,86,736,746,60,3200,10.6630196936543,10.7943107221007,0.328227571115973,5.4
1,0.194489795942836,,,0.170678336980306,2195.11911664117,92.9274311586555,24,736,749,5,3200,10.6630196936543,10.8336980306346,0.426695842450764,-0.4
1,0.253010146910668,,,0.210065645514224,2989.19938228422,102.167058443996,39,736,752,5,3200,10.6630196936543,10.8730853391685,0.525164113785559,-0.4
1,0.322698701290798,,,0.210065645514224,3430.40945064828,102.757289081224,56,736,752,5,3200,10.6630196936543,10.8730853391685,0.525164113785559,-0.4
2,0.613114029725815,,,0.223194748358862,7089.77122573116,125.862562893731,86,736,753,5,3200,10.6630196936543,10.8862144420131,0.557986870897156,-0.4
1,0.324620634782999,,,0.183807439824944,3546.28373475449,101.433347639929,56,736,750,10,3200,10.6630196936543,10.8468271334792,0.459518599562361,-0.4
1,0.30662791624315,,,0.183807439824944,3246.35481960373,99.3301790573206,86,736,750,30,3200,10.6630196936543,10.8468271334792,0.459518599562361,-0.4
0.25,0.151193657062598,,,0.131291028446389,1086.66048892727,77.0731639535439,56,736,746,45,3200,10.6630196936543,10.7943107221007,0.328227571115973,-0.4
1,0.31337567245594,,,0.223194748358862,3714.48345295006,107.564892210246,81,736,753,45,3200,10.6630196936543,10.8862144420131,0.557986870897156,-0.4
1,0.288704105338343,,,0.183807439824944,2991.47047835424,97.3150417460058,86,736,750,45,3200,10.6630196936543,10.8468271334792,0.459518599562361,-0.4
0.25,0.10741847101551,,,0.105032822757112,757.438592298998,68.9893037916048,56,736,744,60,3200,10.6630196936543,10.7680525164114,0.26258205689278,-0.4
1,0.226993175366458,,,0.196936542669585,2426.80228272321,98.1533101719049,86,736,751,60,3200,10.6630196936543,10.8599562363239,0.492341356673962,-0.4
0.5,0.212396983730714,,,0.170678336980306,2187.87441417501,91.6207200364661,56,735,748,5,3200,10.6498905908096,10.8205689277899,0.426695842450764,5.4
1,0.427070873958799,,,0.183807439824944,4600.08870026809,107.505467870511,86,735,749,5,3200,10.6498905908096,10.8336980306346,0.459518599562361,5.4
0.5,0.200623970904085,,,0.183807439824944,2223.42321356204,94.3124834805099,39,735,749,10,3200,10.6498905908096,10.8336980306346,0.459518599562361,5.4
0.5,0.223166482802884,,,0.157549234135667,2218.89640459499,90.1074639384084,56,735,747,10,3200,10.6498905908096,10.8074398249453,0.393873085339167,5.4
0.5,0.224389091639638,,,0.170678336980306,2374.59345945253,93.1153767737121,86,735,748,10,3200,10.6498905908096,10.8205689277899,0.426695842450764,5.4
0.25,0.129636240451085,,,0.105032822757112,955.981435625381,70.3225059698846,56,735,743,30,3200,10.6498905908096,10.7549234135667,0.26258205689278,5.4
0.5,0.208315091532362,,,0.170678336980306,2085.37872111317,90.6325082434306,86,735,748,30,3200,10.6498905908096,10.8205689277899,0.426695842450764,5.4
2,0.55036210137537,,,0.236323851203501,7010.51385179936,126.699698529975,56,735,753,5,3200,10.6498905908096,10.8862144420131,0.590809628008753,-0.4
2,0.615567591827982,,,0.236323851203501,7458.72030638329,128.785277372423,81,735,753,5,3200,10.6498905908096,10.8862144420131,0.590809628008753,-0.4
1,0.259130777860189,,,0.223194748358862,3201.27039761611,104.97893645435,39,735,752,10,3200,10.6498905908096,10.8730853391685,0.557986870897156,-0.4
2,0.605875464047602,,,0.236323851203501,7323.40431133244,128.283632167294,81,735,753,10,3200,10.6498905908096,10.8862144420131,0.590809628008753,-0.4
2,0.622498695053173,,,0.236323851203501,7591.55877006627,129.223709037608,86,735,753,10,3200,10.6498905908096,10.8862144420131,0.590809628008753,-0.4
0.5,0.183839783629455,,,0.210065645514224,2426.38050399529,101.550872262206,39,735,751,30,3200,10.6498905908096,10.8599562363239,0.525164113785559,-0.4
1,0.366895706563014,,,0.236323851203501,4452.12204658263,112.466384549817,56,735,753,30,3200,10.6498905908096,10.8862144420131,0.590809628008753,-0.4
0.5,0.120059673586407,,,0.052516411378555,433.631614655374,48.9739367614595,86,734,738,99,3200,10.636761487965,10.6892778993435,0.131291028446388,1.4
1,0.472687282778703,,,0.196936542669583,4819.64510240376,109.775159926687,81,734,749,5,3200,10.636761487965,10.8336980306346,0.492341356673958,5.4
0.5,0.132680883093744,,,0.065645514223194,566.06019640525,55.2074342826938,6,734,739,10,3200,10.636761487965,10.7024070021882,0.164113785557984,5.4
