a_input,ampl_rec,cstart,cstop,dur,ed_rec,ed_rec_err,inlc,istart,istop,phi0,theta,total_n_valid_data_points,tstart,tstop,Protratio
0.25,0.09392841555238851,,,0.1575492341356668,892.533242556007,40.67882567673443,70.0,738.0,750.0,-0.4,10.0,3200.0,10.689277899343544,10.846827133479211,0.393873085339167
0.25,0.11830201835505516,,,0.1838074398249443,1249.7108848516898,43.92167190783831,81.0,735.0,749.0,5.4,10.0,3200.0,10.649890590809628,10.833698030634572,0.45951859956236074
0.25,0.10626999471352305,,,0.1838074398249443,1166.4375724605597,43.713415036429,86.00000000000001,735.0,749.0,5.4,10.0,3200.0,10.649890590809628,10.833698030634572,0.45951859956236074
0.5,0.09194643559330151,,,0.24945295404813983,1056.1627709068998,49.21406786545467,1.0,731.0,750.0,1.4,10.0,3200.0,10.597374179431071,10.846827133479211,0.6236323851203496
0.5,0.0991372840822391,,,0.22319474835886233,1228.253524007213,47.59665321433354,6.0,731.0,748.0,5.4,10.0,3200.0,10.597374179431071,10.820568927789934,0.5579868708971558
0.5,0.11085645619238904,,,0.22319474835886233,1384.312394948518,48.14755506053375,24.0,734.0,751.0,-0.4,10.0,3200.0,10.63676148796499,10.859956236323852,0.5579868708971558
0.5,0.1817027994248921,,,0.2100656455142218,2057.9904476782835,48.165872772898496,39.0,733.0,749.0,5.4,10.0,3200.0,10.62363238512035,10.833698030634572,0.5251641137855545
0.5,0.2056882096765258,,,0.2100656455142218,2379.6510155281576,48.4198372043596,56.0,734.0,750.0,5.4,10.0,3200.0,10.63676148796499,10.846827133479211,0.5251641137855545
0.5,0.18496595363798307,,,0.19693654266958482,2011.0325938123383,46.86921541334071,70.0,737.0,752.0,-0.4,10.0,3200.0,10.676148796498905,10.87308533916849,0.49234135667396206
0.5,0.19020500112636607,,,0.18380743982494607,1983.6444747356384,45.545367144834806,81.0,737.0,751.0,-0.4,10.0,3200.0,10.676148796498905,10.859956236323852,0.4595185995623652
0.5,0.22656505098704982,,,0.19693654266958305,2475.2003023975913,48.03060642754049,86.00000000000001,735.0,750.0,5.4,10.0,3200.0,10.649890590809628,10.846827133479211,0.4923413566739576
1.0,0.20710306576580928,,,0.42013129102844715,3075.8677140060845,63.55701346727758,1.0,728.0,760.0,5.4,10.0,3200.0,10.557986870897155,10.978118161925602,1.0503282275711179
1.0,0.16702020861881373,,,0.44638949671772465,2911.3064599129234,66.7307430102085,6.0,729.0,763.0,1.4,10.0,3200.0,10.571115973741794,11.017505470459518,1.1159737417943116
1.0,0.26658342818377667,,,0.2757111597374191,3676.653261745302,56.31002100405936,24.0,731.0,752.0,5.4,10.0,3200.0,10.597374179431071,10.87308533916849,0.6892778993435478
1.0,0.26589136761527143,,,0.27571115973741733,3493.0671153782832,55.42981070449423,39.0,733.0,754.0,-0.4,10.0,3200.0,10.62363238512035,10.899343544857768,0.6892778993435433
1.0,0.3140350131372218,,,0.24945295404813983,3887.64730263205,54.57161618601761,56.0,735.0,754.0,-0.4,10.0,3200.0,10.649890590809628,10.899343544857768,0.6236323851203496
1.0,0.3614147399398786,,,0.22319474835886233,3949.791644660228,53.37778681382077,70.0,736.0,753.0,-0.4,10.0,3200.0,10.663019693654267,10.886214442013129,0.5579868708971558
1.0,0.4245848015005338,,,0.22319474835886055,4807.518111655133,55.56387996284117,81.0,733.0,750.0,5.4,10.0,3200.0,10.62363238512035,10.846827133479211,0.5579868708971514
1.0,0.3313613728514313,,,0.22319474835886233,3861.0776199722054,52.98087372949216,86.00000000000001,736.0,753.0,-0.4,10.0,3200.0,10.663019693654267,10.886214442013129,0.5579868708971558
2.0,0.5212257148678234,,,0.9059080962800881,9112.490539752773,87.9674453152402,1.0,727.0,796.0,3.4,10.0,3200.0,10.544857768052516,11.450765864332604,2.26477024070022
2.0,0.434175594920571,,,0.8271334792122538,8531.17013705921,87.89344358467511,6.0,728.0,791.0,1.4,10.0,3200.0,10.557986870897155,11.385120350109409,2.0678336980306344
2.0,0.9245120254573007,,,0.5908096280087527,9995.835050672633,80.37509357839876,24.0,728.0,773.0,3.4,10.0,3200.0,10.557986870897155,11.148796498905908,1.4770240700218817
2.0,0.26383091183610974,,,0.49890590809627966,5599.78052683849,72.91121901922442,39.0,727.0,765.0,1.4,10.0,3200.0,10.544857768052516,11.043763676148796,1.2472647702406991
2.0,0.35015907698305426,,,0.28884026258205786,4619.932033230028,58.8186367977977,56.0,740.0,762.0,7.4,10.0,3200.0,10.715536105032822,11.00437636761488,0.7221006564551447
2.0,0.7488724622976086,,,0.2757111597374191,9308.760288698884,69.99334980231963,70.0,732.0,753.0,5.4,10.0,3200.0,10.61050328227571,10.886214442013129,0.6892778993435478
2.0,0.7403642806025297,,,0.2757111597374191,9219.511977207945,69.50607953748698,81.0,732.0,753.0,5.4,10.0,3200.0,10.61050328227571,10.886214442013129,0.6892778993435478
2.0,0.7362050909096431,,,0.28884026258205786,9303.092579916134,69.87376771100637,86.00000000000001,731.0,753.0,5.4,10.0,3200.0,10.597374179431071,10.886214442013129,0.7221006564551447
0.25,0.08099799070132097,,,0.21006564551422358,870.8312356330346,45.50650432479739,1.0,732.0,748.0,1.4,20.0,3200.0,10.61050328227571,10.820568927789934,0.5251641137855589
0.25,0.06883470630047084,,,0.2100656455142218,811.2174943402001,45.39711995236623,6.0,733.0,749.0,-0.4,20.0,3200.0,10.62363238512035,10.833698030634572,0.5251641137855545
0.25,0.08772386749257843,,,0.2100656455142218,941.0232599767479,45.86376658901806,24.0,734.0,750.0,-0.4,20.0,3200.0,10.63676148796499,10.846827133479211,0.5251641137855545
0.25,0.1129438314799831,,,0.19693654266958305,1365.285423450305,46.09339995349131,39.0,734.0,749.0,5.4,20.0,3200.0,10.63676148796499,10.833698030634572,0.4923413566739576
0.25,0.12744592752911732,,,0.17067833698030555,1247.8454318937422,42.803985591041126,56.0,734.0,747.0,5.4,20.0,3200.0,10.63676148796499,10.807439824945295,0.42669584245076386
0.25,0.11550234949030114,,,0.1838074398249443,1286.832134940569,43.88155485759722,70.0,735.0,749.0,5.4,20.0,3200.0,10.649890590809628,10.833698030634572,0.45951859956236074
0.25,0.12533356686494024,,,0.1575492341356668,1110.07708785046,41.050353583387036,81.0,735.0,747.0,5.4,20.0,3200.0,10.649890590809628,10.807439824945295,0.393873085339167
0.25,0.08805357584338935,,,0.17067833698030732,940.0501507177765,42.85931909736355,86.00000000000001,738.0,751.0,-0.4,20.0,3200.0,10.689277899343544,10.859956236323852,0.4266958424507683
0.5,0.17148150411845897,,,0.4332603938730859,2370.6621460503843,62.371296481401295,1.0,729.0,762.0,1.4,20.0,3200.0,10.571115973741794,11.00437636761488,1.0831509846827148
0.5,0.11935659749441974,,,0.3544857768052516,1963.0462825663478,59.65460062287385,6.0,730.0,757.0,1.4,20.0,3200.0,10.584245076586432,10.938730853391684,0.886214442013129
0.5,0.13490559319983175,,,0.27571115973741733,2158.7983801306314,54.18291735401866,24.0,733.0,754.0,-0.4,20.0,3200.0,10.62363238512035,10.899343544857768,0.6892778993435433
0.5,0.16947466296360925,,,0.23632385120350108,2238.6308808251983,50.76800067244679,39.0,735.0,753.0,-0.4,20.0,3200.0,10.649890590809628,10.886214442013129,0.5908096280087527
0.5,0.18599437144107722,,,0.21006564551422358,2208.1596878361875,48.424395897664006,56.0,736.0,752.0,-0.4,20.0,3200.0,10.663019693654267,10.87308533916849,0.5251641137855589
0.5,0.18017694406600526,,,0.22319474835886233,2205.512156534513,49.0599365458641,70.0,736.0,753.0,-0.4,20.0,3200.0,10.663019693654267,10.886214442013129,0.5579868708971558
0.5,0.20911965709774138,,,0.1838074398249443,2392.3779889783714,47.319582419321705,81.0,735.0,749.0,5.4,20.0,3200.0,10.649890590809628,10.833698030634572,0.45951859956236074
0.5,0.17101066621706473,,,0.19693654266958482,1907.4827475219015,46.60072361607174,86.00000000000001,737.0,752.0,-0.4,20.0,3200.0,10.676148796498905,10.87308533916849,0.49234135667396206
1.0,0.3235466514537968,,,0.6301969365426707,5384.832190813122,75.75108687615422,1.0,729.0,777.0,1.4,20.0,3200.0,10.571115973741794,11.201312910284464,1.5754923413566768
1.0,0.27673177111588476,,,0.5645514223194752,5354.48798722196,73.24772426737324,6.0,729.0,772.0,-0.4,20.0,3200.0,10.571115973741794,11.135667396061269,1.411378555798688
1.0,0.1489068346683038,,,0.44638949671772465,3601.8018224233906,69.01589840400952,24.0,728.0,762.0,1.4,20.0,3200.0,10.557986870897155,11.00437636761488,1.1159737417943116
1.0,0.395768961788288,,,0.2757111597374191,5256.088978571357,59.82834060393382,39.0,732.0,753.0,5.4,20.0,3200.0,10.61050328227571,10.886214442013129,0.6892778993435478
1.0,0.3525705026585173,,,0.2625820568927786,4492.126622424449,57.032099356903124,56.0,734.0,754.0,-0.4,20.0,3200.0,10.63676148796499,10.899343544857768,0.6564551422319465
