istart,istop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,theta,a_input,inlc,phi0
,,,,,,,,3200,0.1,0.5,10,0.4
,,,,,,,,3200,5.1,0.5,10,0.4
,,,,,,,,3200,10.1,0.5,10,0.4
,,,,,,,,3200,15.1,0.5,10,0.4
,,,,,,,,3200,20.1,0.5,10,0.4
,,,,,,,,3200,25.1,0.5,10,0.4
,,,,,,,,3200,30.1,0.5,10,0.4
733,736,10.62363238512,10.66301969365,723.52884543874,118.91818930784,0.23655386671,0.03938730853,3200,35.1,0.5,10,0.4
733,736,10.62363238512,10.66301969365,707.4986000259,118.3836171696,0.24006806169,0.03938730853,3200,40.1,0.5,10,0.4
733,740,10.62363238512,10.71553610503,1785.45810675693,183.51481259577,0.26398464641,0.09190371991,3200,45.1,0.5,10,0.4
732,739,10.61050328228,10.70240700219,1809.98296451841,183.37609710697,0.31215828786,0.09190371991,3200,50.1,0.5,10,0.4
732,740,10.61050328228,10.71553610503,2500.00626217337,203.94402307839,0.36847790514,0.10503282276,3200,55.1,0.5,10,0.4
731,742,10.59737417943,10.74179431072,3248.43242275417,235.6219587167,0.35577977684,0.14442013129,3200,60.1,0.5,10,0.4
731,743,10.59737417943,10.75492341357,3681.01746157375,247.50796247398,0.39064079119,0.15754923414,3200,65.1,0.5,10,0.4
732,743,10.61050328228,10.75492341357,3669.64275714238,241.77846710731,0.41713159978,0.14442013129,3200,70.1,0.5,10,0.4
731,743,10.59737417943,10.75492341357,3950.77271574188,251.44852134489,0.47156972999,0.15754923414,3200,75.1,0.5,10,0.4
731,745,10.59737417943,10.78118161926,4297.33751764171,266.63538596469,0.43096663578,0.18380743982,3200,80.1,0.5,10,0.4
731,743,10.59737417943,10.75492341357,4098.16259096128,253.78544143352,0.4706376837,0.15754923414,3200,85.1,0.5,10,0.4
,,,,,,,,3200,0.1,1,10,0.4
,,,,,,,,3200,5.1,1,10,0.4
,,,,,,,,3200,10.1,1,10,0.4
,,,,,,,,3200,15.1,1,10,0.4
734,737,10.63676148797,10.6761487965,673.79007847692,117.477347787,0.22412716228,0.03938730853,3200,20.1,1,10,0.4
733,743,10.62363238512,10.75492341357,2395.64725024021,216.82389274059,0.25703931978,0.13129102845,3200,25.1,1,10,0.4
732,748,10.61050328228,10.82056892779,3973.11017541247,275.38987058182,0.3047676531,0.21006564551,3200,30.1,1,10,0.4
731,748,10.59737417943,10.82056892779,4981.12863337247,291.93195169359,0.40776289189,0.22319474836,3200,35.1,1,10,0.4
731,749,10.59737417943,10.83369803063,5889.35451837282,308.00781151117,0.41697353598,0.2363238512,3200,40.1,1,10,0.4
731,753,10.59737417943,10.88621444201,7347.8342898373,340.36770808877,0.53876373686,0.28884026258,3200,45.1,1,10,0.4
730,750,10.58424507659,10.84682713348,7580.97121041691,335.37754252266,0.59406734079,0.26258205689,3200,50.1,1,10,0.4
730,752,10.58424507659,10.87308533917,8776.43868629147,355.75724275968,0.68396219574,0.28884026258,3200,55.1,1,10,0.4
730,754,10.58424507659,10.89934354486,9527.23462722209,371.07914074774,0.67397253796,0.31509846827,3200,60.1,1,10,0.4
730,753,10.58424507659,10.88621444201,10085.1712868795,374.11218116943,0.75316937539,0.30196936543,3200,65.1,1,10,0.4
730,753,10.58424507659,10.88621444201,10251.2192105464,375.79947824206,0.74080574566,0.30196936543,3200,70.1,1,10,0.4
730,754,10.58424507659,10.89934354486,10844.2506962781,385.50312961939,0.82248967834,0.31509846827,3200,75.1,1,10,0.4
729,756,10.57111597374,10.92560175055,11563.9771376338,401.41252749931,0.8588507439,0.35448577681,3200,80.1,1,10,0.4
729,756,10.57111597374,10.92560175055,11849.4707404369,404.51342297057,0.86316304179,0.35448577681,3200,85.1,1,10,0.4
,,,,,,,,3200,0.1,1.5,10,0.4
,,,,,,,,3200,5.1,1.5,10,0.4
733,741,10.62363238512,10.72866520788,1873.56196041716,193.08338496211,0.23578918781,0.10503282276,3200,10.1,1.5,10,0.4
732,740,10.61050328228,10.71553610503,2122.98756221334,197.13663813304,0.3096498488,0.10503282276,3200,15.1,1.5,10,0.4
731,751,10.59737417943,10.85995623632,5373.91003904436,311.35686753776,0.3583825568,0.26258205689,3200,20.1,1.5,10,0.4
731,749,10.59737417943,10.83369803063,5911.81502817081,307.96163528158,0.46027505251,0.2363238512,3200,25.1,1.5,10,0.4
731,753,10.59737417943,10.88621444201,7311.83643144302,340.5609819701,0.47053158465,0.28884026258,3200,30.1,1.5,10,0.4
731,751,10.59737417943,10.85995623632,8129.2869565439,342.90743504645,0.58687285285,0.26258205689,3200,35.1,1.5,10,0.4
730,755,10.58424507659,10.9124726477,10226.846790364,382.76896209458,0.69881811852,0.32822757112,3200,40.1,1.5,10,0.4
730,754,10.58424507659,10.89934354486,10822.0699931477,385.82028857384,0.70143089633,0.31509846827,3200,45.1,1.5,10,0.4
730,756,10.58424507659,10.92560175055,12427.9271508917,408.51420555161,0.84848759579,0.34135667396,3200,50.1,1.5,10,0.4
730,757,10.58424507659,10.93873085339,13590.0152990662,423.67025941689,0.86396734444,0.35448577681,3200,55.1,1.5,10,0.4
729,759,10.57111597374,10.96498905908,14870.9017349955,444.54622581606,0.99210040884,0.39387308534,3200,60.1,1.5,10,0.4
730,758,10.58424507659,10.95185995624,15115.0355972337,442.73662709687,1.08400697821,0.36761487965,3200,65.1,1.5,10,0.4
