istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,theta,a_input,inlc
730,736,,,10.584245076586432,10.663019693654267,1988.4735642981163,178.69016024718255,0.35353649020244426,0.07877461706783428,3200.0,15.1,1.0,45.0
730,736,,,10.584245076586432,10.663019693654267,2129.4177715873775,181.42918129298977,0.39867612119508355,0.07877461706783428,3200.0,20.1,1.0,45.0
730,737,,,10.584245076586432,10.676148796498905,2500.1152622017926,195.55282371722637,0.4320294662775652,0.09190371991247304,3200.0,25.1,1.0,45.0
730,737,,,10.584245076586432,10.676148796498905,2738.7078449627384,200.2839892318894,0.4718486781364599,0.09190371991247304,3200.0,30.1,1.0,45.0
730,737,,,10.584245076586432,10.676148796498905,2952.218568254064,204.844373355611,0.49558478678229556,0.09190371991247304,3200.0,35.1,1.0,45.0
730,738,,,10.584245076586432,10.689277899343544,3315.8750174478937,217.26866941662252,0.5262414608293386,0.10503282275711179,3200.0,40.1,1.0,45.0
730,738,,,10.584245076586432,10.689277899343544,3455.4642031989333,220.13767361572488,0.5517074932370354,0.10503282275711179,3200.0,45.1,1.0,45.0
730,739,,,10.584245076586432,10.702407002188183,3884.5541313678873,232.86592502816276,0.6055211212788674,0.11816192560175054,3200.0,50.1,1.0,45.0
730,739,,,10.584245076586432,10.702407002188183,4086.013542874476,236.75970891326054,0.6216784495806302,0.11816192560175054,3200.0,55.1,1.0,45.0
730,740,,,10.584245076586432,10.715536105032822,4415.318051768176,247.44746800283863,0.6405769050933332,0.1312910284463893,3200.0,60.1,1.0,45.0
730,741,,,10.584245076586432,10.72866520787746,4826.902258336765,258.5975994616348,0.6356555336836138,0.14442013129102804,3200.0,65.1,1.0,45.0
730,742,,,10.584245076586432,10.741794310722101,5202.109557234322,269.2541089312117,0.6469691629622498,0.15754923413566857,3200.0,70.1,1.0,45.0
730,743,,,10.584245076586432,10.75492341356674,5591.166154323734,279.6001466268194,0.6730181204774772,0.17067833698030732,3200.0,75.1,1.0,45.0
730,746,,,10.584245076586432,10.794310722100656,6366.090912110073,302.90730189050987,0.6734572179447178,0.21006564551422358,3200.0,80.1,1.0,45.0
730,747,,,10.584245076586432,10.807439824945295,6789.429725752682,312.60975821285683,0.652333393464708,0.22319474835886233,3200.0,85.1,1.0,45.0
730,736,,,10.584245076586432,10.663019693654267,2148.316424425323,181.81645435073895,0.39213397100447556,0.07877461706783428,3200.0,0.1,1.5,45.0
730,736,,,10.584245076586432,10.663019693654267,2390.6773823150597,187.16099598845489,0.4145985991029377,0.07877461706783428,3200.0,5.1,1.5,45.0
729,737,,,10.571115973741794,10.676148796498905,3036.002692729221,211.63046250045375,0.47661062257110154,0.10503282275711179,3200.0,10.1,1.5,45.0
729,737,,,10.571115973741794,10.676148796498905,3363.7393606294218,217.95270253617258,0.5294596795428765,0.10503282275711179,3200.0,15.1,1.5,45.0
755,759,,,10.912472647702407,10.964989059080962,828.2274740062239,134.1381385860264,0.18555129961520644,0.052516411378555006,3200.0,15.1,1.5,45.0
729,737,,,10.571115973741794,10.676148796498905,3644.839143344685,223.4052063696511,0.5623626372314603,0.10503282275711179,3200.0,20.1,1.5,45.0
754,760,,,10.899343544857768,10.978118161925602,1311.9280848823082,165.6319757787612,0.20583752774954478,0.07877461706783428,3200.0,20.1,1.5,45.0
729,738,,,10.571115973741794,10.689277899343544,4182.724345720756,238.07125362936142,0.611584392161644,0.11816192560175054,3200.0,25.1,1.5,45.0
754,760,,,10.899343544857768,10.978118161925602,1322.7953519582848,165.825868668375,0.21479235183476586,0.07877461706783428,3200.0,25.1,1.5,45.0
