tstamp,ID,phi_a,theta_a,a,fwhm,Fth,phi0,i_mu,i_sigma,radius_deg,R_Rsun,qlum_erg_s,median,log_prob,nparam
20_02_2020_12_44,230120143a,5.72,0.383972435438752,3.6,0.25,90616286040.1588,-2.72271363311115,0.419311672265809,0.031710262579699,29.7705143395854,0.198365,3.7129067E+030,2352.49110818426,log_probability_2flares,9
20_02_2020_12_44,230120143b,8.5,0.383972435438752,0.1,2,90616286040.1588,-2.72271363311115,0.419311672265809,0.031710262579699,29.7705143395854,0.198365,3.7129067E+030,2352.49110818426,log_probability_2flares,9
24_02_2020_11_44,100004076,11.4338628546473,0.785398163397448,1,1.69747002760491,90616286040.1588,-2.96705972839036,0.859459323010352,0.23040600022636,4.77985134495277,0.108176,1.1195352E+029,654.433146196888,log_probability,6
25_02_2020_14_07,100004076,13.1079390337262,0.261799387799149,3.6,0.848735013802457,90616286040.1588,-1.08210413623648,0.859459323010352,0.23040600022636,9.09678415765352,0.108176,1.1195352E+029,654.433146196888,log_probability,6
06_03_2020_10_16,100004076,25.8,0.872664625997165,1.2,1.35797602208393,90616286040.1588,-1.0471975511966,0.859459323010352,0.23040600022636,5.23728365899681,0.108176,1.1195352E+029,654.433146196888,log_probability,6
08_07_2020_11_48,277539431,8.1,1.30899693899575,1.8,4.96040945303652,90616356361.5605,-2.61799387799149,1.52021431247817,0.04161485186356,15.3168675369726,0.145216,1.1263702E+030,778.055544903006,log_probability,6
08_07_2020_11_48,44984200,9.8,1.13446401379631,0.34,8.34051146970741,90616356361.5605,-2.61799387799149,0.578451807009834,0.028255854448131,6.11224424311265,0.142339,9.3084509E+029,1687.23555790107,log_probability,6
24_07_2020_11_48,44984200,9.7,1.13446401379631,0.3,7.22844327374643,90616356361.5605,-2.61799387799149,0.578451807009834,0.028255854448131,5.74016747459968,0.142339,9.3084509E+029,1703.54725029416,log_probability,6
24_07_2020_13_09,237880881a,1.16,0.087,5.5,0.922,90616356361.5605,0.00314,0.371856147055469,0.040246261945576,43.1486760934221,0.275151,8.8706892E+030,618.838505583779,log_probability_2flares2ars,10
24_07_2020_13_09,237880881b,3.85,0.587,2.2,0.95,90616356361.5605,0.00314,0.371856147055469,0.040246261945576,25.6283830768654,0.275151,8.8706892E+030,618.838505583779,log_probability_2flares2ars,10
