prefix,ID,ED,e_ED,t0,e_t0,dur,e_dur,ampl,e_ampl,Prot
TIC,237880881,6020,298,1331.82418,0.00194,0.77347,0.02975,0.46626,0.01576,8.43
KIC,100004076,10414,886,1358.52754,0.00072,0.49377,0.02388,0.79166,0.06277,8.88
TIC,44984200,3809,135,1588.0274,0.00106,0.65066,0.03073,0.29153,0.00868,2.71
TIC,277539431,4495,394,1641.86831,0.00291,0.8972,0.08459,0.35356,0.03025,4.56
EPIC,212035340,1954494,483655,3437.8375,0.00029,0.05795,0.00631,29.07702,2.06769,4.63
