TIC,template,vsini,err
TIC 277539431,CN Leo,38.496680537962106,0.18972696535038078
TIC 277539431,LP 731-058,39.63822698203961,0.27610682534363795
TIC 277539431,Teegarden's Star,33.55073134287598,0.21592332911656958
TIC 44984200,CN Leo,39.83722060535615,0.18533425191811104
TIC 44984200,LP 731-058,37.19662757382025,0.24795479597584325
TIC 44984200,Teegarden's Star,34.963867890643826,0.24025613525134537
