TIC,template,vsini,err
TIC 277539431,CN Leo,42.31611094913191,0.5687228957973097
TIC 277539431,LP 731-058,37.3154550721662,0.30296822711143373
TIC 277539431,Teegarden's Star,40.82755163973036,0.5426219330294169
TIC 44984200,CN Leo,41.58041059841847,0.5505201072514295
TIC 44984200,LP 731-058,36.02067440801372,0.28566757068548143
TIC 44984200,Teegarden's Star,41.51411620269073,0.5266421447066104
