TIC,template,vsini,err,err2,
TIC 277539431,CN Leo,39.1069445247469,1.42739799260146,2.03746502928267,0.916794572992921
TIC 277539431,LP 731-058,38.5436340455503,1.73845112492727,3.02221231376089,
TIC 277539431,Teegarden's Star,37.6468869776579,1.5826980945777,2.50493325857989,
TIC 44984200,CN Leo,34.586714474337,1.20268044690333,1.44644025736358,0.752759303079244
TIC 44984200,LP 731-058,34.6407060582069,1.42426138252677,2.02852048575707,
TIC 44984200,Teegarden's Star,35.3599023090595,1.27469932620618,1.62485837223049,
