TIC ID,RA,DEC,pmRA,pmDEC,TESS mag,Name,Extended,Handling,Obj. Type
220429097,72.90558333,-58.31444444,-169.0,-701.0,14.0195,J0451-5818,N,N,M6.5V
77842052,78.14870833,-30.68501944,41.0,-1.0,14.267,J0512-3041,N,N,M6.8
77959225,79.547125,-31.03113611,46.1,4.0,14.2065,J0518-3101,N,N,M6.5
388903843,83.837625,-9.518611111,341.0,-232.0,14.1495,J0535-0931,N,N,M6.5
144776281,85.22458333,8.905011111,-168.0,-8.0,12.711,J0540+0854,N,N,M6V
156735150,91.162,7.69835,68.0,-197.0,12.892,J0604+0741,N,N,M6V
142052876,97.69420833,-76.71917778,-5.0,356.0,11.15,J0630-7643,N,N,M6.0
220146061,99.15404167,6.31945,-11.0,377.0,13.498,J0636+0619,N,N,M6V
53603145,103.082375,-25.58056944,-237.0,75.0,15.595,J0652-2534,N,N,L0
130414729,104.7912917,-47.78139444,96.0,346.0,15.9705,J0659-4746,N,N,M6.5
167894019,105.7094167,-61.04667222,568.0,592.0,12.76,J0702-6102,N,N,M7.0
410898932,106.9719583,-49.01389722,-13.0,380.0,15.8465,J0707-4900,N,N,M8.5
318801864,110.0135417,-8.780302778,-43.0,-105.0,13.319,J0720-0846,N,N,M9:
278199738,110.998625,-80.25474722,-409.0,715.0,13.557,J0723-8015,N,N,M6V
289113766,115.0800833,-17.41224722,1143.0,-553.0,12.4835,J0740-1724,N,N,M6.5
926898,127.1424583,-13.1553,-586.0,12.0,15.929,J0828-1309,N,N,L2
184457945,127.4220417,-37.15946389,-263.0,171.0,12.082,J0829-3709,N,N,M6
366567664,127.6356667,9.787508333,-493.0,-464.0,14.436,J0830+0947,N,N,M8
121204333,128.1269583,-1.577222222,150.0,-480.0,14.291,J0832-0134,N,N,M6
11654435,128.8821667,-34.01028333,-134.0,-470.0,12.159,J0835-3400,N,N,M6
44984200,129.5084167,-58.93305556,-31.0,-331.0,12.565,J0838-5855,N,N,M6.0
7975441,133.4007917,-3.492225,-516.0,-185.0,13.903,J0853-0329,N,N,M9 V
471012394,133.5511667,-8.083066667,919.0,-789.0,13.816,J0854-0804,N,N,M6.0V
270511002,135.8373333,5.670569444,-49.0,-373.0,13.167,J0903+0540,N,N,M7V
380532990,140.30875,-21.07890556,289.0,-921.0,15.8325,J0921-2104,N,N,L1.5
423319208,140.7623333,-23.01140278,-6.2,1.6,13.478,J0923-2300,N,N,M8.2
