TIC ID,RA,DEC,pmRA,pmDEC,TESS mag,Name,Extended,Handling,Obj. Type
452882423,2.882583333,59.14444444,-918.0,-1164.0,12.2735,J0011+5908,N,N,M6.5
201929047,3.238166667,50.98806389,294.0,35.0,13.7345,J0012+5059,N,N,M6.5
411533111,6.983,22.32557778,403.0,-167.0,13.16,J0027+2219,N,N,M8
426959594,9.067375,18.35290833,915.0,143.0,15.8095,J0036+1821,N,N,L3.5
15615674,16.40683333,28.49251667,1903.0,-189.0,11.887,J0105+2829,N,N,M7
15652493,16.97654167,26.11363333,226.0,31.0,14.355,J0107+2606,N,N,M7
352770254,21.09691667,68.32528611,419.0,-370.0,13.874,J0124+6819,N,N,M7V
415957794,28.45645833,44.45779167,242.0,-87.0,12.672,J0153+4427,N,N,M6V
63781635,34.291375,35.44250556,545.0,-260.0,12.384,J0217+3526,N,N,M7V
192297306,45.26333333,44.28224167,61.0,-111.0,14.305,J0301+4416,N,N,M6
428681517,47.742875,73.77196389,1832.0,-1086.0,12.106,J0310+7346,N,N,M6
316627328,52.70375,54.23194722,-155.0,2.0,12.574,J0330+5413,N,N,M7V
101255821,56.124875,32.32298889,26.0,-8.0,15.277,J0344+3219,N,N,L0.0
187092382,59.33329167,41.12850556,-196.0,-20.0,13.304,J0357+4107,N,N,M7V
58108583,64.07191667,28.28690833,10.1,-28.4,13.642,J0416+2817,N,N,M9.0
58229181,64.53316667,28.43436111,-5.2,-25.2,14.09,J0418+2826,N,N,M8.0
58285782,64.75458333,28.32834722,-3.6,-23.0,13.363,J0419+2819,N,N,L0.0
58638214,66.31458333,28.49098056,11.8,-22.8,13.659,J0425+2829,N,N,M7
355147124,71.57704167,48.74752222,1018.0,-638.0,13.815,J0446+4844,N,N,M6
59965448,72.239375,29.23111389,37.0,250.0,14.307,J0448+2913,N,N,M7.0
87302025,78.87891667,59.18834444,119.0,-1008.0,13.7935,J0515+5911,N,N,M7.5
428891621,84.55270833,79.52168333,827.0,-854.0,14.393,J0538+7931,N,N,M6 V
239097694,84.85308333,40.64529722,646.0,-820.0,13.655,J0539+4038,N,N,M8
174821904,90.626875,39.18306111,146.0,-501.0,15.281,J0602+3910,N,N,L1
252875556,100.2420833,49.74167778,1.0,-166.0,12.999,J0640+4944,N,N,M6V
88384320,104.4878333,62.32195,326.0,-510.0,10.841,J0657+6219,N,N,M6V
9882031,110.355125,37.23446389,-479.0,-339.0,14.187,J0721+3714,N,N,M7
445018193,113.0072083,57.928875,13.0,-909.0,14.176,J0732+5755,N,N,M6.0V
453406992,114.6966667,49.42417222,45.0,-487.0,12.888,J0738+4925,N,N,M6V
73250951,123.77625,65.36611389,-31.0,-138.0,14.112,J0815+6521,N,N,M7
309707247,125.3668333,52.34946389,-220.0,-260.0,14.16,J0821+5220,N,N,M7
147556632,126.4702083,69.03378333,-681.0,-1245.0,12.479,J0825+6902,N,N,M7V
3664898,127.4562083,26.77613333,-1110.0,-607.0,10.5635,J0829+2646,N,N,M6.5 V
29169063,135.1452083,47.56390278,-8.0,-44.0,14.193,J0900+4733,N,N,M7
150182869,137.358,49.65806944,-630.0,-640.0,13.977,J0909+4939,N,N,M6V
313007938,137.8040417,74.01889167,-199.0,-167.0,15.757,J0911+7401,N,N,L0
85914263,137.87725,22.8028,-106.0,-30.0,14.146,J0911+2248,N,N,M7
318210289,142.544125,50.33807778,-153.0,-170.0,13.875,J0930+5020,N,N,M6
88098880,148.4905,22.61280278,-237.0,-70.0,14.433,J0953+2236,N,N,M7
172954298,150.2095833,31.92943333,-402.0,-315.0,12.517,J1000+3155,N,N,M6.0V
331945698,151.7671667,35.44889722,-309.0,-55.0,13.834,J1007+3526,N,N,M7
85294082,159.37075,30.18640833,-810.0,-565.0,14.336,J1037+3011,N,N,M8V
150265247,159.7705833,43.87390556,85.0,15.0,14.015,J1039+4352,N,N,M7
8259902,161.8027083,40.44529722,-294.0,-24.0,13.7125,J1047+4026,N,N,M6.5
8259901,161.8070417,40.44695,-294.0,-24.0,15.272,J1047+4026,N,N,L0
84925818,164.265875,22.2889,-162.0,-126.0,13.543,J1057+2217,N,N,M6V
172601525,165.974625,24.29585,-535.0,-389.0,13.831,J1103+2417,N,N,M7
252803606,166.3805417,43.52140278,-4328.0,953.0,10.998,J1105+4331,N,N,M6.0V
99269890,169.5400833,38.48834722,-125.0,-72.0,14.446,J1118+3829,N,N,M7
17970570,170.6785,37.93001389,259.0,19.0,13.685,J1122+3755,N,N,M7
386971069,173.5659167,20.78141389,-234.0,87.0,14.068,J1134+2046,N,N,M6V
11893637,177.7405417,48.37723889,-1534.0,-953.0,10.744,J1150+4822,N,N,M6
138860476,178.1768333,24.63555556,-451.0,36.0,15.863,J1152+2438,N,N,L0
334576780,183.262125,21.77724722,43.0,-142.0,12.249,J1213+2146,N,N,M8
