TIC,Sector,snr,period_d,period_h,angDist,designation,ra,ra_error,dec,dec_error,parallax,g_rp,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg
258804174,14,3.26803425738643,0.353060126533152,8.47344303679566,1.28037,Gaia DR2 2262968996398764288,287.384423869868,0.055135464023008,71.6910050277832,0.071982062499019,20.6172978720745,1.3438053,287.38330692591,71.69094691805,,,,19093198+7141273,,J190932.16+714127.5,2.26296899639876E+018,,,STAR,tmgaia2,tmgaia2,81.495,0.107,13.496,0.131,gaia2,20.6173,0.0632,18.03,0.2,16.240999,0.001477,14.774,0.008,cdwrf,cdwrf,3020,157,5.1338,0.0375,,,0.166,0.005,0.137,0.02,48.4357,0.1493,,,0.1488,0.1497,287.38442386987,71.69100502778
237880881,1,3.26444358886138,0.351672522090131,8.44014053016315,1.515076,Gaia DR2 4709338941785748480,19.5288579466385,0.059155268823214,-62.9832903337778,0.054373004068391,21.7070005762443,1.3691492,19.52799325306,-62.98313921905,,,,01180670-6258591,,J011806.85-625859.6,4.70933894178575E+018,,,STAR,tmgaia2,tmgaia2,91.229,0.106,-35.097,0.104,gaia2,21.707,0.0677,,,14.9796,0.001022,13.474,0.008,cdwrf,cdwrf,2956,157,4.9547,0.0091,,,0.275,0.008,0.248,0.02,46.0075,0.1445,,,0.1441,0.1449,19.52885794664,-62.98329033378
192204373,20,2.68861272961415,0.350354326059966,8.40850382543919,0.460982,Gaia DR2 977638808311811968,105.85122967001,0.059928303015474,46.3740091791549,0.061137620218799,28.7382421596854,1.3169432,105.85121399527,46.37388158617,,,,07032429+4622258,,J070324.29+462226.2,9.77638808311812E+017,53562046,,STAR,tmgaia2,tmgaia2,2.512,0.11,29.635,0.114,gaia2,28.7382,0.0653,,,15.1779,0.000789,13.747,0.008,cdwrf,cdwrf,3072,157,5.0986,0.0319,,,0.182,0.005,0.152,0.02,34.7621,0.0795,,,0.0793,0.0797,105.85122967001,46.37400917915
82099975,19,2.59895559308667,0.349978777851786,8.39949066844286,0.372735,Gaia DR2 466960943350137472,49.0619776957271,0.05543599222457,63.9828211743328,0.052324037142814,23.3126857755018,1.300499,49.06216882622,63.98276041851,,,770-022842,03161492+6358578,,J031614.89+635858.0,4.66960943350138E+017,,,STAR,tmgaia2,tmgaia2,-19.472,0.097,14.111,0.1,gaia2,23.3127,0.0693,16.694,0.492,15.0249,0.000596,13.618,0.008,cdwrf,cdwrf,3117,157,5.0251,0.0195,,,0.223,0.007,0.192,0.02,42.8425,0.1282,,,0.1277,0.1286,49.06197769573,63.98282117433
231926410,5,2.91824476126673,0.34466024888464,8.27184597323135,2.556986,Gaia DR2 5567382594739455232,93.1794555938761,0.111523376961303,-45.0563718632869,0.131178405873743,28.6896842977176,1.2836971,93.17936622764,-45.05707932631,,,225-008331,06124306-4503254,,J061243.06-450323.7,5.56738259473946E+018,22286338,,STAR,tmgaia2,tmgaia2,14.662,3.903,164.314,3.903,hsoy,,,15.412,0.172,13.4583,0.000564,12.074,0.007,cdwrf,cdwrf,3157,157,4.8772,0.0004,,,0.347,0.011,0.33,0.02,,,,,,,93.17945559388,-45.05637186329
167812509,7,3.38678765396553,0.335660708893594,8.05585701344626,4.775448,Gaia DR2 5287046368477870848,104.982609496276,0.05135506949474,-61.7488204388387,0.070478995337995,53.9981855411334,1.3945951,104.98406156044,-61.74995500964,,,142-008848,06595620-6145001,,,5.28704636847787E+018,,,STAR,tmgaia2,tmgaia2,-159.629,0.114,263.515,0.146,gaia2,53.9982,0.0549,16.26,0.2,14.5575,0.00069,13.014,0.008,cdwrf,cdwrf,2907,157,5.1464,0.0406,,,0.161,0.005,0.132,0.02,18.5092,0.019,,,0.0189,0.019,104.98260949628,-61.74882043884
5725904,2,3.82903923277986,0.330153948201654,7.9236947568397,1.734929,Gaia DR2 2412965682624396800,347.966079793397,0.057451896064512,-12.323752965706,0.049596028089773,20.0559413282313,1.3000498,347.96558655429,-12.32376000007,,,,23115172-1219256,,J231151.82-121925.4,2.4129656826244E+018,,,STAR,tmgaia2,tmgaia2,111.919,0.117,1.634,0.093,gaia2,20.0559,0.0686,17.07,0.2,15.235,0.00118,13.83,0.008,cdwrf,cdwrf,3124,157,5.0083,0.0167,,,0.234,0.007,0.204,0.02,49.7896,0.1714,,,0.1707,0.172,347.9660797934,-12.32375296571
399753595,5,3.0868932368451,0.328214583915158,7.87715001396378,1.487914,Gaia DR2 3289809060267929856,73.4879334893698,0.066391085512785,9.26632311617213,0.040161146189522,24.9771579993765,1.2873392,73.48751549622,9.26634834735,,,497-008621,04535700+0915588,,J045357.06+091558.7,3.28980906026793E+018,39820470,,STAR,tmgaia2,tmgaia2,95.815,0.164,-5.86,0.086,gaia2,24.9772,0.082,16.24,0.2,14.4952,0.000662,13.104,0.007,cdwrf,cdwrf,3138,157,4.9693,0.0107,,,0.263,0.008,0.235,0.02,39.991,0.1321,,,0.1317,0.1326,73.48793348937,9.26632311617
142442450,14,3.26052273902886,0.323301977990677,7.75924747177624,3.366724,Gaia DR2 1119768102293659136,146.283108883834,0.04377969336339,71.7470908737315,0.066116853884317,33.9988737535921,1.359664,146.28574662889,71.74752911387,,,809-019140,09450859+7144511,,J094508.13+714449.9,1.11976810229366E+018,60479293,,STAR,tmgaia2,tmgaia2,-191.881,0.087,-101.789,0.117,gaia2,33.9989,0.062,15.68,0.2,14.0997,0.000785,12.606,0.007,cdwrf,cdwrf,2969,157,4.9684,0.011,,,0.264,0.008,0.236,0.02,29.3879,0.054,,,0.0539,0.054,146.28310888383,71.74709087373
420456160,20,2.51349456713494,0.322055414138303,7.72932993931928,1.611361,Gaia DR2 575440822126321792,26.7780496747709,0.097938180411463,86.4021673789671,0.077355171602326,23.4904035926968,1.3323555,26.77115784986,86.40228275697,,,883-000529,01470512+8624080,,J014706.07+862408.2,5.75440822126322E+017,61146411,,STAR,tmgaia2,tmgaia2,100.444,0.148,-26.803,0.129,gaia2,23.4904,0.1104,15.55,0.2,15.0156,0.000781,13.561,0.008,cdwrf,cdwrf,3028,157,4.9992,0.0153,,,0.241,0.007,0.211,0.02,42.5199,0.2012,,,0.2002,0.2021,26.77804967477,86.40216737897
352949913,24,2.67880217519632,0.318771248799958,7.65050997119899,4.240521,Gaia DR2 2195815400318293248,313.956536278563,0.044407260729423,61.7427916230677,0.046274750161133,33.4034106905892,1.3463287,313.95454769313,61.74208371076,,,759-058853,20554908+6144314,,J205549.41+614433.2,2.19581540031829E+018,58729544,,STAR,tmgaia2,tmgaia2,218.666,0.097,164.415,0.087,gaia2,33.4034,0.0463,16.455,0.11,14.8725,0.000523,13.403,0.007,cdwrf,cdwrf,3023,157,5.0842,0.029,,,0.189,0.006,0.158,0.02,29.9112,0.0417,,,0.0417,0.0418,313.95653627856,61.74279162307
354572301,5,3.41329450942158,0.316454062846193,7.59489750830864,2.294834,Gaia DR2 4802977269018513792,85.2705515042017,0.041252838926323,-42.8415708713139,0.044895661390747,35.3358134562635,1.2980595,85.27025160547,-42.84216919676,,,236-006953,05410486-4250318,,J054104.90-425030.3,4.80297726901851E+018,19830028,,STAR,tmgaia2,tmgaia2,51.072,0.087,138.966,0.086,gaia2,35.3358,0.0485,15.3,0.2,13.9318,0.001147,12.526,0.008,cdwrf,cdwrf,3114,157,4.9937,0.0145,,,0.245,0.007,0.215,0.02,28.2768,0.0391,,,0.039,0.0391,85.2705515042,-42.84157087131
