,istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,snr,period,period_h,TIC,Sector,note,dur_over_period,
575,4974,5034,137293,137353,1418.14543203241,1418.22876626549,580.849829821571,4.83836803109101,0.61498212814331,0.083334233073856,15481,2.09096304969937,0.403083858585663,9.67401260605591,439913926,4,I,0.206741677442154,
261,13942,13989,149052,149099,1434.47736842689,1434.54264516191,1234.88040859901,4.60323604926588,1.15796732902527,0.065276735014777,15481,2.09096304969937,0.403083858585663,9.67401260605591,439913926,4,I,0.161943311855303,
944,11626,11638,186004,186016,1485.79995778553,1485.81662438759,434.786681192455,17.2339982411655,0.422831416130066,0.016666602052965,14531,2.0977454501295,0.065309557519187,1.56742938046049,438462123,6,I,0.255193920860183,
398,11436,11451,164199,164214,1455.51513319713,1455.53596603595,616.114007908785,12.2175407443299,0.834230422973633,0.020832838825299,17367,2.18585468520244,0.07422015058606,1.78128361406543,434167503,5,I,0.28068979462852,
494,16860,16870,109570,109580,1379.64168780369,1379.6555765709,226.375660548511,3.83470526993359,0.700051784515381,0.013888767206936,18018,2.27601000545132,0.056878721805367,1.36508932332882,434109088,2,I,0.244182125865309,
2221,6522,6544,374789,374811,1747.99881065267,1748.02936639866,243.602733286423,6.13067982079865,0.201439261436462,0.03055574599648,13470,2.03593028282475,0.056046084042001,1.34510601700803,430844759,16,sys,0.545189668801508,
756,8008,8059,257860,257911,1585.59960522602,1585.670437746,264.107236057765,0.855607781180745,0.509089946746826,0.070832519983696,15093,3.51132552167004,0.1794193427894,4.30606422694561,429354344,10,I,0.394787534512587,
907,11612,11658,261482,261528,1590.63008690631,1590.69397460342,293.116374987007,1.0168776041541,0.434803485870361,0.063887697113387,15093,3.51132552167004,0.1794193427894,4.30606422694561,429354344,10,I,0.356080320661845,
1982,12004,12037,261874,261907,1591.17452096046,1591.22035339468,144.320274565644,1.17808670273873,0.224780082702637,0.045832434216663,15093,3.51132552167004,0.1794193427894,4.30606422694561,429354344,10,I,0.255448679635732,
881,15089,15109,107733,107753,1377.08737443731,1377.11515148464,397.164860532857,6.03509987133632,0.447714567184448,0.027777047330801,18017,13.3399598113202,0.050171132216023,1.20410717318454,425937691,2,I,0.553646013233282,
1107,5546,5561,76355,76370,1333.50716137759,1333.52799490849,307.31953693673,5.82111990036795,0.370372772216797,0.020833530890286,17805,14.595166774249,0.050155969722008,1.20374327332818,425937691,1,I,0.41537489965316,
725,10521,10532,103078,103089,1370.6222507256,1370.6375281753,230.791192292027,1.87226173748129,0.5243239402771,0.015277449698715,18017,13.3399598113202,0.050171132216023,1.20410717318454,425937691,2,I,0.304506775588291,
1930,3277,3284,94667,94674,1358.94049462069,1358.95021673692,94.3603870922609,2.94655544965641,0.23141872882843,0.009722116229113,18017,13.3399598113202,0.050171132216023,1.20410717318454,425937691,2,I,0.19377908768836,
587,17493,17570,170281,170358,1463.96027850081,1464.06722072465,2828.85530617383,28.7651631720666,0.609874606132507,0.106942223846772,17571,2.35133688647786,0.051702038642736,1.24084892742566,423786241,5,sys,2.06843340522312,
509,12303,12312,299650,299659,1643.6388352961,1643.65133548892,250.012109364788,4.26291282388751,0.680092096328735,0.012500192822699,18804,2.25901030023554,0.068749277383404,1.64998265720169,423236614,12,I,0.181822897613707,
783,2166,2174,288562,288570,1628.23850338497,1628.24961480196,202.832785746186,4.30262778897492,0.49131178855896,0.011111416982658,18804,2.25901030023554,0.068749277383404,1.64998265720169,423236614,12,I,0.161622309434488,
