designation,ra,ra_error,dec,dec_error,parallax,g_rp
Gaia DR2 2031429547157732992,294.446724106273,0.802613343656553,28.3579123744083,1.19132575014073,20.7904330796395,1.2700291
Gaia DR2 1717425415851976704,184.370681039887,0.054679356165763,78.4682864120289,0.045507075507359,21.0639928034134,1.2700405
Gaia DR2 6201273863018194688,226.786363583984,1.91849771223651,-34.0853145576182,0.782850758542433,33.8154147460102,1.2700462
Gaia DR2 3546008910356229632,169.864100832393,0.048891222711301,-18.5615373963156,0.040955734763201,23.1281849191095,1.270051
Gaia DR2 5617668965201055616,108.313448110986,1.09816765673616,-23.5949950219678,2.19774862506572,58.5670784234663,1.2700539
Gaia DR2 47319961098840192,64.5380565592754,0.071762617606329,17.4161339927775,0.04206365483796,21.875114757508,1.2700634
Gaia DR2 3632779859757659008,207.170933111589,0.06405368357195,-5.28765703967269,0.05500912515913,40.1381676437403,1.2700682
Gaia DR2 1415197260246376576,261.945601033897,0.034865986518943,52.0019756155669,0.0338014535228,34.3213164247908,1.2700758
Gaia DR2 1823711322289639808,300.218799789964,1.31814617618446,20.6998639196549,1.2381048146137,20.7970439074883,1.2700863
Gaia DR2 4121925060853159680,260.032663554982,2.24505432587236,-20.6141384817797,1.11669400664978,61.1799056389959,1.2700863
Gaia DR2 1821004427755684736,296.717085127657,0.911812805598162,17.0925704504736,1.23301970054432,20.3971399576766,1.2700958
Gaia DR2 122378603405149696,49.6256907291155,0.068816178475652,29.9160999093458,0.056452672994,20.0011815175345,1.2700968
Gaia DR2 4591606775741244032,276.957046033344,0.036970474210546,31.3205132935063,0.042285695695612,23.3491253576843,1.2701006
Gaia DR2 1200711884883935872,244.458265751771,0.034937090255489,18.7519024985199,0.029912763388605,21.8834937374362,1.2701063
Gaia DR2 2902048623827462400,84.6197266062649,0.036224762654573,-32.2090475588661,0.051362182229047,25.8301288584519,1.2701082
Gaia DR2 1740534092250753920,320.680636302032,0.06593031885418,8.88939751677509,0.057358157775098,28.2077949649217,1.2701225
Gaia DR2 1824570006495550208,297.18884386283,0.801371826495855,18.828020423839,0.776491731174924,28.6454153042069,1.2701263
Gaia DR2 676670074556748544,122.406510902735,0.082217700545827,20.9537757813549,0.058984555993216,21.1706058356215,1.2701292
Gaia DR2 330931353326079872,31.0012875234818,0.063618774690696,37.8760015780372,0.06399308756518,22.7264580984928,1.270134
Gaia DR2 1823348689598447872,298.914657652206,1.29781605644721,20.1791234984016,1.53397471322208,26.1641326217699,1.270155
Gaia DR2 2057499792487428352,305.229955545811,0.038862813937261,36.4186235347002,0.051293466083506,21.9189218962151,1.2701807
Gaia DR2 5041034524411980288,17.3293446909891,0.054780500735649,-24.5073698638826,0.042695031611889,55.9197352300419,1.2701845
Gaia DR2 246591978189090304,58.9692347677885,0.113529740403382,46.8969456942506,0.063782027663574,26.8809857091859,1.2701902
Gaia DR2 6026999036639556352,251.99327945506,1.46206942220221,-33.4711599640138,1.02143968260742,20.4646609891003,1.2701931
Gaia DR2 5619572834001612032,112.255129012635,0.918794676762242,-21.8126873404098,1.30500829841962,29.9125254270129,1.2702065
Gaia DR2 4677699395185750528,71.301653172056,0.040748407157749,-60.9013961062345,0.051250867146461,23.718036489037,1.2702408
Gaia DR2 5468809762401380352,155.303577548807,0.048674236512993,-27.4418226253935,0.068405616455698,30.2757895462366,1.2702541
Gaia DR2 1781723721971913856,331.608257943172,0.05459205860785,21.6622530002735,0.053016108448324,40.1903812524598,1.2702856
Gaia DR2 3874324834754672896,150.040479921145,0.082278998969285,6.78412944425908,0.069886063515334,32.3912045872152,1.2702885
Gaia DR2 4250595031099887232,301.929891418088,0.077809108331219,7.06751121352932,0.044016082484571,22.2952945700382,1.2702913
Gaia DR2 2619252377735756416,330.943113810265,0.062408184401282,-8.11414750480215,0.059369499164968,23.5545577707832,1.270297
Gaia DR2 2546762984866318080,3.01245183557655,0.070319028683666,2.10686167281144,0.047936199768817,41.9296902216599,1.2703009
Gaia DR2 3026749799517510016,112.292394290107,1.64576794646816,-18.1932583153136,1.83137425981827,22.7588333075191,1.2703075
Gaia DR2 868727920973588480,114.731139844302,0.083211367419063,25.3902985463098,0.069798314934348,24.6724023305083,1.2703142
Gaia DR2 1821445297518599552,297.353123070754,1.11281887399997,17.9057568681757,1.22118272972222,27.1646240610774,1.2703171
Gaia DR2 3293443770830920704,70.1688485323673,0.056133681636309,9.56339627962299,0.032531308186874,23.7872304817337,1.2703238
Gaia DR2 5980102082660156416,257.156643983231,0.747585344778997,-32.3500868801345,0.689230513243511,24.7507191386407,1.2703247
Gaia DR2 5711672910105836800,119.333984608987,0.619795505801651,-21.1836553972551,0.788654979082348,20.8972247718415,1.2703323
Gaia DR2 6013553173366452608,232.223466816323,2.97566944867111,-35.9678499561098,1.08169174806746,27.5795815591892,1.2703743
Gaia DR2 4901934140151066624,6.88958372079249,0.039345012832389,-61.9549411974117,0.036118206540273,23.0562675813261,1.2703934
Gaia DR2 1142225975184914816,115.558333344677,0.038869463865155,79.8276975655988,0.051960944671405,23.8427616618684,1.2704029
Gaia DR2 2527009743077668096,8.70068530139329,0.079592464031105,-5.16603867589003,0.057554406648234,36.1786921780138,1.2704077
Gaia DR2 1284379875033869952,217.496969865903,0.031590828186558,29.5653277372399,0.039111645791522,38.2362012154137,1.2704182
Gaia DR2 1180423210995825920,225.160832165916,0.084413724808238,11.4154906891283,0.062453621921975,23.5548552458198,1.2704287
Gaia DR2 5831138357477817472,244.818017691065,1.02173806194772,-60.9732279523679,1.46879345265664,22.0239082751976,1.2704601
Gaia DR2 1923719670107914112,353.079065060006,0.04955923840968,41.4166501885448,0.031405150538444,29.4953414382935,1.2704601
Gaia DR2 2771736189329919232,356.965260121875,0.05380292561041,15.7983636545295,0.031683185944449,34.3906446086119,1.2704811
Gaia DR2 5158286375678363648,41.0638926628334,0.079473593453624,-13.6046231526648,0.091213973578781,36.6832205542813,1.2704935
Gaia DR2 4594043980701032192,263.309585401329,0.03311913096119,25.950079704489,0.040111507111299,30.3235390559273,1.2705021
Gaia DR2 1552488776081383168,204.007929729242,0.038968410990483,48.4795688486088,0.043907592321501,27.0584819371892,1.2705212
Gaia DR2 560017010452668416,21.2857438452343,0.042592891629971,75.6759153615463,0.035250178049349,24.9945884844629,1.2705421
Gaia DR2 4065086387107633536,274.088591064115,0.643119480469065,-25.5523822344369,0.519884303284611,20.1102957935131,1.270546
Gaia DR2 4997583955185946496,7.66553169896702,0.045906675416685,-38.166012520993,0.03516897933694,23.2341768435117,1.2705727
Gaia DR2 6470039653542791552,313.490969493245,0.034068180494819,-55.1093114129662,0.030835224629119,42.6048344745259,1.2705784
Gaia DR2 946632924006923776,107.505221275331,0.097750507851587,38.5254006455117,0.107622721326895,164.639531987509,1.2705793
Gaia DR2 4914922567931170560,15.109809514353,0.045356439720598,-54.5115187509445,0.040189393536669,23.1897135630755,1.2706013
Gaia DR2 4402106152848215424,232.842102851924,0.087955756671741,-3.31679755916974,0.103571075850837,22.7953570270656,1.270606
Gaia DR2 3750494983376667136,159.008563492389,0.107631108462305,-14.7058968104251,0.082669270423994,22.2715216933573,1.2706089
Gaia DR2 4067739306754920448,268.619813519116,0.089736209566735,-24.4455964312682,0.078582788093535,20.0355037861511,1.2706261
