,wav,130,135,140,145
0,7750.01,55578.10323897907,55715.86064739775,55883.13240335683,55990.2866638595
1,7750.06,55347.49394823536,55551.33823421204,55714.72980251446,55772.91736794747
2,7750.11,55156.077869809495,55352.178252365804,55556.304636956076,55658.13333500653
3,7750.16,55005.45759702193,55160.657955037255,55401.778861595754,55507.16385455127
4,7750.21,54840.067057382905,54993.955636229024,55215.22656083971,55277.35254510029
5,7750.22,54794.437739345274,54973.05989536302,55172.46337533701,55254.80319044645
6,7750.26,54680.6118321742,54875.99626448172,54997.599287153374,55153.07222710295
7,7750.31,54568.92895834944,54723.3806686203,54773.79290764877,55029.15599605291
8,7750.36,54471.415137432115,54519.21320500889,54607.295526686285,54885.64415145534
9,7750.41,54354.76046730304,54342.84685103439,54499.09814043758,54871.58199809709
10,7750.46,54225.497308695005,54203.563083969355,54390.33147375128,54827.80140144056
11,7750.51,54091.72668532745,54101.210172932086,54360.28290777826,54803.16562629185
12,7750.56,53930.03098909963,54017.065287298625,54378.95573740594,54755.20345381183
13,7750.61,53750.41396695804,53958.93868239766,54387.905447199024,54635.84552867641
14,7750.66,53586.54441677748,54044.63379905791,54371.738572493,54586.96872215458
15,7750.71,53446.30716521527,54053.41873215894,54336.38649775622,54555.45541015192
16,7750.76,53413.247165618974,53989.55207435562,54321.34740936433,54511.80568452579
17,7750.81,53444.324609439034,53905.55461579867,54286.96060273356,54460.14984605516
18,7750.86,53409.67184971266,53803.37026650126,54206.91319303891,54470.318786629316
19,7750.91,53322.49146615983,53775.16804878267,54101.40133459396,54515.61239251161
20,7750.96,53183.624305546335,53703.78186749251,54030.16972722839,54607.01078602001
21,7751.01,53001.57173262749,53594.70726418976,54012.31735170723,54615.86844549405
22,7751.06,52919.18772204634,53464.7483131564,54067.17730629036,54582.622793382645
23,7751.11,52837.22702305218,53344.37067436629,54110.237496129674,54534.00756488345
24,7751.16,52795.85567623878,53254.56094852293,54089.54893582505,54506.436382925414
25,7751.21,52785.40331930622,53342.69068348193,54022.56769320788,54498.11744420842
26,7751.26,52801.202575144926,53393.39554590477,53879.94212083922,54443.24547726378
27,7751.31,52881.38812489587,53456.2221240163,53829.19216872989,54384.27883990233
28,7751.36,53027.546806350685,53468.37053585559,53803.81908799178,54253.785248911925
29,7751.41,53086.8294179127,53446.53497955801,53802.779821999844,54081.66292777495
30,7751.46,53123.72553738643,53501.52858921506,53809.32355733805,54016.71294914652
31,7751.51,53176.228922224815,53524.134558499565,53774.10057087331,53997.95393609677
32,7751.56,53220.007571535396,53507.60489790684,53737.980900068185,54007.94664763785
33,7751.61,53242.86911305499,53527.52191115369,53756.312922192206,53972.52493212757
34,7751.66,53236.112498723756,53533.700207783746,53752.41762328356,53960.312379404146
35,7751.71,53227.777267561105,53511.61076778983,53721.27593712586,53953.33911212737
36,7751.76,53241.90169498584,53522.11149402486,53754.53828726665,53951.3767498704
37,7751.81,53263.8414421754,53474.124710280674,53766.97871619782,53915.651651062864
38,7751.86,53307.91336820058,53460.10973205218,53748.20235424288,53917.80103196711
39,7751.91,53367.28328711617,53525.79743932267,53726.79471404177,53906.88793572019
40,7751.96,53450.16673793545,53542.74385175498,53689.563311243386,53852.4299381584
41,7752.01,53589.82039586913,53570.317232526446,53675.58678067427,53797.76293721743
42,7752.06,53720.87909249445,53623.43451503594,53666.12573842197,53709.62442538111
43,7752.11,53821.41887457094,53732.373999081676,53652.3696843858,53660.72882579221
44,7752.16,53906.12320549859,53821.46562244003,53647.99174730305,53731.55328106861
45,7752.21,53985.65720461883,53876.42232356001,53667.56550318098,53820.73546229399
46,7752.26,54034.72045668731,53923.794346132854,53789.77112479678,53902.87417452571
47,7752.31,54034.54085165196,53951.18699708196,53952.22041580645,53946.30076630215
48,7752.36,54042.4361664692,53986.00331199579,54109.563701869454,54068.24994919126
49,7752.41,54100.59942053928,54073.500611266165,54214.21867520156,54194.17898590447
50,7752.46,54185.87804301838,54165.60814282759,54299.12959587344,54303.68657159235
51,7752.51,54321.92278746394,54307.09105720426,54384.61573163247,54400.113290153684
52,7752.56,54526.31376358271,54438.662016983275,54444.61800096559,54472.12983818464
53,7752.61,54746.77957194873,54592.920059459895,54499.05268797869,54653.77707051891
54,7752.66,54925.777076069404,54738.675552514585,54596.406609821286,54837.67757884786
55,7752.71,55090.363466284885,54912.68614045006,54780.05125262859,54936.0312034173
56,7752.76,55266.01484522088,55057.35044759889,55030.693642439546,55057.69581634891
57,7752.81,55453.53128960967,55193.9175712952,55265.755338344235,55176.25900625289
58,7752.86,55646.320149722036,55448.21055396737,55484.11208008019,55313.885261704934
59,7752.91,55823.46961319392,55741.392602639506,55639.81850100548,55425.393609570005
60,7752.96,56035.46887179518,56011.4583344713,55783.41012258728,55547.584143956505
61,7753.01,56302.019822443166,56244.76723462094,55930.46488779849,55644.77027943671
62,7753.06,56555.675394018435,56414.25067012165,56065.99064631029,55714.023413846364
63,7753.11,56768.16152937181,56566.30362415169,56205.305124171355,55823.71597504522
64,7753.16,56919.33484639736,56688.85547981079,56320.07572759176,55929.15628219615
65,7753.21,57038.61602384705,56786.96253574034,56424.82795852875,56098.499607391896
66,7753.26,57139.01691199794,56874.148109827365,56522.503082337,56257.680918095684
67,7753.31,57204.5376017619,56921.130040800585,56628.2154584361,56382.96039515378
68,7753.36,57262.232215330645,56987.263748994126,56754.19430355592,56484.28595685847
69,7753.41,57301.846866435655,57037.480065450945,56850.59985154943,56570.63452295096
70,7753.46,57310.26969721515,57108.8075778114,56918.16649031769,56655.6783387076
71,7753.5,57318.31590278184,57190.40400420588,56970.006705869324,56696.01942766385
72,7753.51,57326.055184163095,57206.55182090447,56978.52064779002,56715.38006357671
73,7753.56,57386.09661843225,57262.12678607216,57026.05010558161,56761.426870467796
74,7753.61,57465.209142697626,57258.429641409806,57056.749321099385,56796.594817181016
75,7753.66,57471.89514407323,57300.343478971445,57090.12754869319,56817.26124137052
76,7753.71,57425.18443337558,57357.48581392223,57090.25629163359,56805.55489256893
77,7753.76,57393.47799273051,57343.86132765666,57070.879063991226,56812.111452102625
78,7753.81,57417.94672441262,57288.43943696367,57073.37838544225,56793.3840310312
79,7753.86,57433.45360560005,57187.79096490511,57067.98053001297,56749.10909407719
80,7753.91,57425.00870517199,57166.38654190787,56999.80998344546,56688.89576042719
81,7753.96,57419.66619901155,57155.529922855785,56910.72345521083,56612.529107219685
82,7754.01,57413.90046360193,57112.84740461171,56808.55044639773,56590.753939583185
83,7754.06,57399.65567653259,57054.441677581985,56692.01357659883,56479.67243143566
84,7754.11,57373.38476946456,57041.27045771853,56645.330480676945,56347.70249618873
85,7754.11,57373.38476946456,57041.27045771853,56645.330480676945,56347.70249618873
86,7754.16,57314.05029919772,56965.163195607034,56581.17099809435,56312.38079225286
87,7754.21,57259.02223720322,56856.57396640499,56515.987631673575,56277.345384863496
88,7754.26,57207.58346257043,56822.46632867245,56490.47421957585,56215.68578305778
89,7754.31,57071.85663629978,56722.41174376606,56451.791409290876,56129.22240473154
90,7754.36,56960.99389713361,56652.72727097475,56406.55091548217,56064.626534727955
91,7754.41,56847.14155402723,56621.74182040845,56325.51472898864,55996.5165181974
92,7754.46,56693.48739796737,56549.19039157647,56225.27667562236,55955.80467587976
93,7754.51,56557.061653754616,56454.75982666628,56140.77221873362,55880.42634928408
94,7754.56,56441.13638901028,56298.440515275724,56067.624904007076,55795.20024437054
95,7754.61,56357.447519049194,56130.99280557015,55972.94912224824,55732.440128053815
96,7754.66,56289.26993200501,55960.76125320384,55860.797850182185,55661.21258934578
97,7754.67,56277.29417926104,55940.392838624546,55834.46860573623,55655.49649858093
98,7754.71,56196.78004446981,55853.30125203267,55729.445399753844,55613.94215296306
99,7754.76,56083.65370266417,55774.755735342864,55582.343098459874,55518.64228614725
100,7754.81,55965.51326614324,55716.751335595516,55466.33172820156,55379.09773639348
101,7754.86,55832.19859758608,55638.130109388105,55378.397635405265,55227.88105452644
102,7754.91,55691.06229545023,55533.134607174376,55307.33561885882,55071.02108577107
103,7754.96,55568.236960187845,55442.107327099155,55226.00838603654,54963.79464086204
104,7755.01,55453.22730257911,55320.054352054445,55121.84477480942,54899.14767857854
105,7755.06,55326.978764856016,55164.80622247251,55019.23894059379,54825.8581982445
106,7755.11,55189.92005679724,55047.48220834321,54905.06155662097,54726.664505105895
107,7755.16,55051.52548578833,54915.344631213564,54775.36251176888,54618.68857500213
108,7755.21,54897.339653708514,54765.25907400422,54632.5423024903,54490.957839693176
109,7755.26,54711.527105065994,54635.88447159504,54508.56930102439,54409.91153347835
110,7755.31,54551.001668861,54506.89350474495,54364.08296545779,54328.66957479478
111,7755.36,54435.17174046687,54329.23797987689,54233.432224502314,54283.62231789472
112,7755.41,54303.1045455506,54136.403335644034,54149.75724844952,54242.306874889655
113,7755.46,54133.47462396874,53987.36534753672,54081.55542990113,54224.07118508353
114,7755.51,53948.3037474205,53912.35307592369,53984.85385461254,54186.218550530044
115,7755.56,53776.00383427669,53825.0154737247,53940.322808934565,54139.62904642811
116,7755.61,53681.04550839244,53734.47348911777,53931.97330976832,54103.47944044339
117,7755.66,53644.765571520315,53628.841153928865,53894.50795438101,54147.34826739448
118,7755.71,53615.586112177974,53644.95468807199,53841.077501340194,54208.465808340814
119,7755.72,53611.75811976758,53653.0177602482,53829.18334542843,54209.44523263548
120,7755.76,53588.71907940909,53684.70113656094,53858.79521381223,54219.69007082299
121,7755.81,53584.75172653151,53666.057414988834,53914.726757504,54194.738067886035
122,7755.86,53588.37371546844,53677.73330973735,53976.14829421508,54184.45057243358
123,7755.91,53574.99351152431,53812.85662267352,54006.452546104534,54137.19411371028
124,7755.96,53558.607202361716,53900.09529087863,54051.22724892459,54099.208412264736
125,7756.01,53591.62535933586,53929.50669297357,54087.65492851456,54102.909820398934
126,7756.06,53676.74372822874,53942.54808474336,54089.017729685074,54092.55066968885
127,7756.11,53780.48766907662,53979.092677796885,54058.43941933501,54076.34697340772
128,7756.16,53843.53980149481,53950.48003873032,54035.43468872681,54065.221004252686
129,7756.21,53912.68376102299,53927.076715234325,54010.174605980974,54012.36502805398
130,7756.26,53967.01384949137,53955.137375634455,53968.11896672696,53960.372286324695
131,7756.31,53985.67756061656,53974.502191539,53903.2101760703,53912.487431560134
132,7756.36,54005.14711695227,53971.002932999516,53865.996206895994,53860.24457980052
133,7756.41,54031.87357422842,53956.32353148405,53853.92369256773,53759.417482965575
134,7756.46,54042.63119893346,53932.2148710607,53841.50032261733,53675.899525041845
135,7756.5,54042.18414153997,53932.30856572364,53814.03027062488,53636.82474910232
136,7756.51,54039.59914649144,53935.319860389456,53802.93396739772,53629.84921051513
137,7756.56,54024.06223380039,53916.702547368506,53748.10099677464,53588.939044045284
138,7756.61,54004.54400682073,53901.70944451368,53695.11695264309,53548.178400450764
139,7756.66,53967.32214985494,53843.01777824084,53656.04850632564,53556.72960858358
140,7756.71,53912.67179053999,53795.37553118757,53607.88072348082,53565.91902313651
141,7756.76,53840.1422673486,53737.34752163199,53604.0987048953,53567.456403485674
142,7756.81,53746.01147536703,53659.93762294963,53616.68146223859,53553.57696150238
143,7756.86,53615.63157403912,53561.801770567516,53613.840471497584,53522.61889124296
144,7756.91,53467.35730767554,53549.752566092495,53587.12363575977,53513.1433428658
145,7756.94,53380.60782260303,53537.27363162991,53563.84574966354,53546.7213245178
146,7756.96,53318.30992876738,53523.45343193795,53530.301052258656,53558.47791440776
147,7757.01,53226.67220589178,53428.966920131956,53463.36556267522,53564.30777078455
148,7757.06,53195.221019325836,53321.47068723016,53470.87404980295,53626.596866417036
149,7757.11,53148.36558955965,53198.50305850764,53436.544756744166,53744.27477341882
150,7757.16,53058.18756021557,53121.0102739231,53369.99994801651,53837.94743117087
151,7757.21,52929.08313165638,53143.219084179196,53434.370320066875,53904.988050337
152,7757.26,52784.94343262613,53101.50573971435,53506.69770961076,53974.7844656422
153,7757.31,52693.27299576744,53070.76528472608,53580.30437283416,54022.55144187504
154,7757.36,52584.28074750693,53152.98271883854,53674.54721018504,54034.839669013185
155,7757.41,52442.06004058384,53194.83555461843,53753.63135947196,54049.13145488483
156,7757.46,52398.79150773842,53177.43165088077,53780.10643691632,54086.85947156026
157,7757.51,52439.6449490329,53201.77216616963,53768.36028345136,54143.5396437592
158,7757.56,52556.041894019945,53192.3298919945,53742.48754897438,54189.43907241046
159,7757.58,52606.22343051102,53170.97602550386,53719.818045207954,54218.21944998511
160,7757.61,52693.75240347723,53101.940595832166,53712.09630437651,54245.94337512697
161,7757.63,52750.99771739005,53115.26039226246,53697.94830336983,54263.49858782827
162,7757.64,52773.36445740489,53122.576151205176,53692.828354061785,54269.49407857317
163,7757.66,52822.29156353855,53135.53626094237,53687.30357223345,54278.06740688538
164,7757.66,52822.29156353855,53135.53626094237,53687.30357223345,54278.06740688538
165,7757.68,52868.55480829515,53165.69730840648,53669.49040918258,54271.53887244786
166,7757.71,52895.87936528914,53214.054396414496,53675.33962619056,54263.10484601713
167,7757.71,52895.87936528914,53214.054396414496,53675.33962619056,54263.10484601713
168,7757.76,52933.969052570326,53306.84187845449,53677.34459572837,54286.05716543898
169,7757.81,52984.78262845566,53390.39335973769,53754.59290588052,54289.88082729188
170,7757.86,53040.06690366993,53473.7774369617,53880.295921102486,54232.468231649604
171,7757.91,53077.85418615316,53586.18216908343,54004.42433948644,54286.61505242504
172,7757.96,53119.955028233446,53648.34796023013,54083.660946705146,54434.57367423834
173,7758.01,53192.17642078051,53753.0049878976,54140.03451130701,54567.18479933476
174,7758.06,53284.83839942781,53806.67645390199,54262.66868664265,54673.15161539981
175,7758.11,53473.90357118082,53829.49919310593,54382.31275863764,54742.61312993595
176,7758.16,53685.010945464506,53873.647284347106,54462.56298048298,54819.268610354855
177,7758.21,53854.38953596382,54080.87896617274,54508.21301678252,54885.33139177909
178,7758.26,53989.79092377151,54301.690016024004,54553.18019087167,54895.183968943435
179,7758.31,54163.33384827514,54484.48328381458,54623.66793188534,54797.825546942884
180,7758.36,54373.28960433091,54647.377843321156,54749.90121893129,54671.628070932675
181,7758.41,54566.89772241999,54765.088527057975,54815.91633173578,54567.61595704443
182,7758.46,54745.82920039733,54912.78875354171,54814.63858433404,54653.32394241472
183,7758.51,54889.66729946844,55005.76287379959,54765.65206376609,54735.157764303745
184,7758.56,55010.82527378034,55033.63118833924,54807.28585696855,54759.62756680603
185,7758.61,55108.929010920016,55010.45903339195,54901.26581605978,54770.934121946
186,7758.66,55172.015669580294,54930.2559907721,54936.76519145287,54748.18292102842
187,7758.71,55138.29914024543,54996.44797854482,54949.953610001794,54746.9772406588
188,7758.76,55069.44780128377,55074.25834930055,54936.397818510486,54757.70242036867
189,7758.81,55089.320472486645,55075.14350761984,54903.77992949934,54819.37523833431
190,7758.86,55174.516340338705,55045.75288256382,54872.97246023998,54899.54935512834
191,7758.91,55205.76043385076,55035.823747567214,54902.22403167859,54953.45877727974
192,7758.96,55209.82895049941,55010.770669187994,54958.258426423,54964.770032620596
193,7759.01,55192.03033760208,54987.18075754737,55012.779752235685,54998.65287150061
194,7759.06,55149.04752594292,55037.79437733447,55067.21573450595,55053.26904484547
195,7759.11,55094.18217407615,55120.07258128131,55091.45723546052,55066.28897917164
196,7759.16,55061.85599709949,55185.46020424405,55137.69879158499,55089.502642938416
