,wav,10,30,50,70,90,110
121,8005.89,110831.02762491259,110997.93649866107,111274.52005677558,111758.91078859499,112209.79301012785,111301.0921522292
122,8005.94,114772.93414894176,110750.54301514624,111238.843998117,111473.6763091557,112079.68167615222,111322.32859824938
123,8005.99,117825.99406847962,110512.48485538234,111317.49163879594,111179.87776129357,111871.94692844365,111326.97498442468
124,8006.04,119979.36962621826,110364.17370587477,111281.57141145648,110935.4436715959,111669.2272296903,111341.11881665794
125,8006.09,119451.99870950393,110161.25090045601,111194.391752194,110799.83759214407,111509.30385615579,111318.82839211203
126,8006.14,116556.94876792753,110412.3705598156,111087.27839606119,110676.91144206373,111424.73203499598,111336.74591689155
127,8006.19,112838.70547531548,110461.74324626253,110886.56482968769,110608.05085593354,111331.72371900288,111323.95122466545
128,8006.24,109742.22576390387,110250.92325147102,110768.94961432862,110567.16944364193,111255.04415984463,111310.78263475945
129,8006.29,107431.46257737993,110281.83850405642,110616.84463967437,110440.44128105594,111155.37259144339,111323.1387234519
130,8006.34,104192.60410043909,110469.78016893967,110440.04321762026,110239.6290453272,111043.57093888106,111297.0564426126
131,8006.39,100997.46328575125,110589.31149400298,110162.57069314411,110022.75849306004,110901.76517996196,111259.36248164953
132,8006.44,99521.15656251894,110834.3094641484,109835.43204962483,109792.03005952094,110782.31311946579,111171.8350920718
133,8006.49,101088.6568499144,111095.11231694547,109736.23053601335,109557.09491249516,110661.06745109707,111054.87538599252
134,8006.54,103452.06828718487,111768.74342615037,109516.17094268982,109353.31830841702,110483.29410791061,110943.7165007462
135,8006.59,105661.39656515003,111796.64100800421,109313.81330175728,109260.45695375082,110368.5622451612,110797.23172280914
136,8006.64,108760.18214753683,111484.11055151971,109202.32507076663,109208.57689091728,110234.23420372172,110687.2077327659
137,8006.69,111463.74319907336,110610.52277629111,109271.0159044774,109260.75090983728,110114.88566500595,110599.83226844155
138,8006.74,113080.98809487259,109420.31067257204,109235.98954366894,109363.9644162024,110043.934543668,110511.76040663283
139,8006.79,115117.72418935466,108737.73613734935,109188.6557267516,109484.71484512556,109956.7515504801,110436.05507226384
140,8006.84,118142.06191075794,108029.84610937988,109038.2900935433,109533.00918579455,109830.50765369143,110351.70506979141
141,8006.89,120362.41683032832,107820.50342502947,108928.89664796292,109505.12672007574,109655.11251413448,110218.03890489019
142,8006.94,120484.24319078708,107457.14992009845,108807.00834844954,109456.07669378945,109453.00754470978,109954.66098510745
143,8006.99,118959.7449147051,107335.75688800041,108624.39983758707,109468.03525959895,109287.00459287339,109745.30916447293
144,8007.04,117367.33232106849,107622.51238246725,108355.49452605234,109466.08387229564,109153.41236426026,109557.08451227339
145,8007.09,114911.02412724543,107531.99162923121,108278.61346311003,109383.68092068759,109091.3534516191,109402.5973326962
146,8007.14,111385.51857288646,107627.56856972785,108206.61538439943,109292.7426157187,109018.20591370449,109289.64205111412
147,8007.19,107154.76747041423,107834.84678416497,108117.82543995988,109208.35734380774,108994.57465080466,109119.96056832164
148,8007.24,102446.45454287234,108117.93563024995,107982.87618340962,109163.48330382089,108997.90571602939,109001.1432127464
149,8007.29,98352.75843159507,108270.40015522446,107951.33079465988,109085.89119710294,109038.1925691006,108879.43823277179
150,8007.34,95842.19468676997,108556.97226571671,108048.91307149784,108979.80907568341,109092.30024541735,108748.63307657567
151,8007.39,95501.29384865778,108715.84654058673,108025.68934305104,108864.28433438265,109086.03486925353,108606.7060171258
152,8007.44,95883.09110984692,108474.64956737863,108124.87590302699,108751.70776108198,108938.2112217561,108438.75378044164
153,8007.49,96096.44946068179,108024.742515664,108215.16992527069,108603.2124154021,108704.8505871068,108283.01840532088
154,8007.54,97245.4072483806,107180.82782214008,108530.54787101992,108465.72901055522,108564.47284511157,108258.7673294282
155,8007.59,99679.77628260119,106069.97406936985,108725.90259372428,108414.93060377002,108455.8038442864,108223.79437474658
156,8007.64,103071.0078102366,105450.59106938177,108752.40247044874,108417.7693819635,108357.37351817933,108189.94513430368
157,8007.69,107091.57390973745,105039.63184359702,108829.64044297682,108371.36323295174,108220.79457575578,108170.33089421959
158,8007.74,112169.0404304986,105190.12422459704,108818.52875349164,108268.4799630051,108106.45627827126,108189.64803456966
159,8007.79,115049.62132674074,105508.30662516643,108813.46005012127,108168.3478379202,107997.50276810808,108179.33040889021
160,8007.84,116205.49313454413,106028.48126689368,108792.64014139693,108131.69135179384,107840.63022058074,108180.45604809509
161,8007.89,116260.48953768807,106768.48050264077,108790.78741544363,108148.03776613029,107696.62656763944,108158.79507132796
162,8007.94,115214.93449870596,107345.59027479745,108773.60591001218,108080.11187523202,107583.31244099246,108077.0280993881
163,8007.99,114655.04797834189,107914.70856660862,108565.68166951943,107889.81602104842,107456.43634939172,107984.02122318393
164,8008.04,112289.1212421089,108630.2588628524,108224.00525718142,107700.01264423113,107388.0681491339,107923.72078254739
165,8008.09,107143.85488380444,109287.32859646405,107838.8371030119,107644.19220670567,107432.11099521037,107895.24397886217
166,8008.14,101911.55619765443,109915.47240983654,107597.38323352378,107639.14720667136,107468.97629251136,107869.6602462239
167,8008.19,98964.91127014594,110279.89692184412,107412.97656798376,107583.15773429534,107485.50149353432,107854.48373026465
168,8008.24,97561.64468863381,110731.73334368702,107271.53507707069,107500.82913524938,107485.27725817254,107848.43102225951
169,8008.29,99484.50639831487,110965.79824046163,107237.14215888466,107402.71191535487,107440.35275429313,107814.35007802631
170,8008.34,103121.53110761293,110817.1209833803,107327.64219882363,107267.6945574761,107344.73982439163,107794.62396734643
171,8008.39,108372.90400890353,110616.36089837407,107484.75913729821,107132.05006037306,107289.48401559897,107799.3610571434
172,8008.41,111062.10806480033,110502.99582538009,107591.94408811418,107083.39691340351,107266.69791397297,107816.9382915153
173,8008.44,113473.68645864056,110301.3935994915,107751.88552825859,107037.70791404427,107207.63076174755,107832.97392914687
174,8008.49,117003.06367860778,109972.04497144594,107802.65951619839,106934.18442454001,107133.55917847375,107906.50782326928
175,8008.51,118316.02838393046,109798.39785919158,107710.80407210652,106877.32319143227,107113.13012816822,107937.0278094878
176,8008.54,120122.09228986443,109615.84365357936,107536.6403213425,106757.23172220176,107084.2141706533,107973.88460914721
