,istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,snr,period,period_h,TIC,Sector,note,dur_over_period,TPF,check period,
18,11834,11969,343000,343135,1703.84822586655,1704.03572382805,40446.4598005621,225.66248638734,5.8088493347168,0.187497961501322,14012,2.13607991419626,0.054214941126206,1.30115858702895,12456725,14,CANDIDATE,3.45841861314299,"real, low flux",1,
587,17493,17570,170281,170358,1463.96027850081,1464.06722072465,2828.85530617383,28.7651631720666,0.609874606132507,0.106942223846772,17571,2.35133688647786,0.051702038642736,1.24084892742566,423786241,5,sys,2.06843340522312,,,
644,6566,6641,140865,140942,1423.10023425494,1423.20717635176,2421.42416850706,27.6163695265252,0.564710974693298,0.106942096819694,15492,2.38220231930965,0.053145737241344,1.27549769379225,280866656,4,CANDIDATE,2.01224222996571,SYS,,
1853,3692,3836,251010,251154,1576.08537888771,1576.28537841992,2618.04610042942,11.2027419860308,0.237740755081177,0.19999953220622,15744,2.2159532611366,0.107406432044454,2.57775436906689,57830249,10,cr,1.86208151969375,,,
1567,15492,15625,264722,264855,1595.12948259258,1595.31419829059,2985.86143483206,10.8489977360859,0.275081872940063,0.184715698013633,15744,2.2159532611366,0.107406432044454,2.57775436906689,57830249,10,cr,1.71978246086028,,,
2153,731,863,248035,248167,1571.95343031544,1572.13676431035,1533.59136393254,9.58165479665615,0.206820607185364,0.183333994911209,15744,2.2159532611366,0.107406432044454,2.57775436906689,57830249,10,cr,1.70691821170756,,,
289,6412,6489,532986,533065,1967.71421797778,1967.82394082835,1845.2135441584,9.13798803370564,1.07782506942749,0.109722850568687,13869,2.19833449045802,0.064457977627582,1.54699146306196,219755626,24,CANDIDATE,1.70223849098449,real,1,
1434,11086,11157,163849,163920,1455.02886356954,1455.12747190213,1587.85396120996,12.1450276388599,0.298348903656006,0.098608332592221,17367,2.01792313939206,0.058146792850954,1.3955230284229,416744592,5,CANDIDATE,1.69585161549633,SSO,0,
930,11475,11555,146561,146641,1431.0165632636,1431.12767131233,1511.87093671074,2.88103981388736,0.425047636032105,0.11110804872942,15494,4.06490745845677,0.066437868134883,1.5945088352372,65347864,4,cr,1.67236023443508,,,
375,3741,3824,548397,548489,1989.11502392373,1989.24280039118,896.972735107785,1.91951070972538,0.879562258720398,0.127776467445528,16947,3.97078274921447,0.077355439028153,1.85653053667568,402980664,25,cr,1.65180973763234,,,
1700,1554,1674,248865,248985,1573.10621163687,1573.27287868166,2038.56256484522,9.28716845804585,0.25393283367157,0.166667044794622,15744,2.2159532611366,0.107406432044454,2.57775436906689,57830249,10,cr,1.55174174974587,,,
1403,11005,11111,298335,298441,1641.8116379453,1641.95885760058,2232.92833715969,11.3437281319682,0.304332137107849,0.147219655283152,18805,8.91439692433438,0.094975446841364,2.27941072419274,277539431,12,GOT,1.55008120708345,,,
784,4056,4118,177619,177681,1474.1541024218,1474.24021304571,2111.00386530913,16.7393176872285,0.490849852561951,0.08611062391492,14528,2.48786987518876,0.057939297089567,1.3905431301496,247960117,6,CANDIDATE,1.48622141172689,SSO,0,
924,10770,10890,259595,259715,1588.00565982716,1588.17232419864,1753.96780065803,6.53949134642555,0.42710530757904,0.166664371474781,16129,4.4668112359405,0.112986492637899,2.71167582330959,44984200,10,GOT,1.47508226500056,,,
1373,4489,4566,95895,95972,1360.64817684011,1360.75512382599,1707.46530767201,12.9111611349329,0.309485077857971,0.106946985879404,18018,2.0698074757926,0.073000037424647,1.75200089819152,114818487,2,CANDIDATE,1.46502645275762,SSO,0,
1265,15620,15680,365183,365243,1734.65376876706,1734.73710368376,545.589859264191,2.32911985510801,0.332918286323547,0.083334916699414,17118,2.03771637112699,0.060732695051242,1.45758468122981,229614158,15,candidate,1.37215904265572,,,
1872,10891,10940,475304,475357,1887.6020853234,1887.6756948375,628.183615510347,8.74718646297216,0.235863327980041,0.073609514095551,18015,2.4527919996801,0.053673006828006,1.28815216387215,372732576,21,candidate,1.37144383081483,,,
1449,9663,9732,555354,555425,1998.7774656572,1998.8760765276,295.095868891926,1.72950220855155,0.294495344161987,0.098610870406446,16947,3.97078274921447,0.077355439028153,1.85653053667568,402980664,25,I,1.27477617146685,,,
1339,2895,2988,250206,250299,1574.96871361057,1575.09788022016,2260.76149912958,8.92618069628498,0.316799402236938,0.129166609595814,15744,2.2159532611366,0.107406432044454,2.57775436906689,57830249,10,cr,1.20259659628535,,,
1385,14992,15035,480607,480650,1894.9695651916,1895.02928534087,716.963801394862,8.92991466080171,0.307701349258423,0.059720149269879,16859,2.04429194816574,0.054286142788641,1.30286742692739,29169063,21,CANDIDATE,1.10009932925968,real,1,
999,7295,7352,571183,571242,2020.76863419702,2020.85057878373,939.178119122664,7.96480463271495,0.406330585479736,0.081944586715054,16643,2.27987093274432,0.074884276275148,1.79722263060355,308358603,26,candidate,1.09428294952019,,,
1724,1315,1396,425419,425501,1818.32006895828,1818.43396046109,424.167469195696,2.28397321636659,0.250578045845032,0.113891502806382,16452,3.19870335582401,0.106921411151792,2.56611386764301,98615312,19,CANDIDATE,1.06518892314931,real,1,
1906,11533,11611,260751,260830,1589.6143542798,1589.72407410566,1447.22722326082,8.31216460229998,0.23331880569458,0.109719825856246,15744,2.2159532611366,0.107406432044454,2.57775436906689,57830249,10,cr,1.02153868970188,,,
869,1492,1554,191849,191911,1493.91771029625,1494.0038235424,981.868157598378,11.386133099155,0.453952431678772,0.086113246144578,16063,3.18866531799214,0.088201683486619,2.11684040367886,452922110,7,CANDIDATE,0.976322024030779,real,1,HOT
911,1494,1524,133747,133790,1413.2142562757,1413.27397901572,974.691119584605,17.1374495601928,0.432398200035095,0.059722740020789,15477,2.02953089853524,0.063842586223775,1.53222206937059,350025862,4,candidate,0.935468682478722,,,
1962,7320,7356,98796,98832,1364.67397366283,1364.72397315522,147.053872042954,1.53801941329999,0.226694226264954,0.049999492392999,18017,2.04475359056744,0.056224121795719,1.34937892309725,234333175,2,candidate,0.889288988357414,,,
946,11416,11455,261286,261325,1590.35780278955,1590.41196876031,1292.07183547958,16.0660978686176,0.421867728233337,0.054165970761687,15093,2.08400152815791,0.063574256778357,1.52578216268058,204669366,10,CANDIDATE,0.852011073452723,SSO,0,
1072,3369,3401,446408,446440,1847.4652135996,1847.50965815999,367.902961214371,6.61554519992769,0.378918170928955,0.044444560386637,17334,2.14565674740432,0.053653891009377,1.28769338422504,232629531,20,candidate,0.828356705366802,,,
1785,965,1010,92310,92355,1355.66907421806,1355.73157481042,837.87362000115,14.0730396097202,0.243963241577148,0.06250059236163,18018,2.1194407081878,0.078927551013555,1.89426122432532,332519883,2,CANDIDATE,0.791872946252902,SSO,,
1495,3933,3969,118264,118300,1391.71600952248,1391.76601021524,342.627366722653,5.04431142133017,0.285221099853516,0.050000692759113,13153,2.13734600764393,0.066780094721877,1.60272227332504,164789350,3,I,0.748736475552391,,,
1814,15710,15735,440802,440828,1839.68503218038,1839.7211423981,347.534134137843,8.58143428799063,0.241421937942505,0.036110217718715,16597,2.28963461633149,0.050873931622473,1.22097435893935,273647353,19,I,0.709798055056624,,,
1202,11046,11191,163810,163955,1454.96823438102,1455.16962102271,2436.26625649971,11.716277154329,0.347490668296814,0.201386641684849,17573,3.61046569282294,0.284776271416878,6.83463051400507,260972843,5,CANDIDATE,0.707174936601524,real,1,maybe too complicated shpe
526,5459,5515,569310,569366,2018.16089375773,2018.23867246479,379.804931072981,1.10310087502111,0.662186741828918,0.077778707059679,16643,5.17138120977171,0.110389202877625,2.64934086906299,402980664,26,cr,0.704586182635115,,,
953,10378,10405,339624,339651,1699.15268542353,1699.19018541826,590.751284419215,10.3590454650183,0.419612884521484,0.03749999472484,18125,2.3301847244122,0.053651613689783,1.28763872855478,154561790,14,I,0.698953715384356,,,
1270,4116,4173,467471,467529,1876.72010833003,1876.80066456744,329.757713218308,1.72526661374495,0.331790447235107,0.08055623740529,17875,2.09916406381831,0.11538078274524,2.76913878588576,219807052,21,candidate,0.698177248313158,,,
