TIC,Sector,snr,period,period_h
425937691,1,14.595166774249,0.050155969722008,1.20374327332818
425937691,2,13.3399598113202,0.050171132216023,1.20410717318454
289840926,1,9.45372317643655,0.099999288917518,2.39998293402042
289840928,1,9.19899964465618,0.099999289120548,2.39998293889315
277539431,12,8.91439692433438,0.094975446841364,2.27941072419274
351685943,24,8.88351544305171,0.088492428774571,2.1238182905897
351685943,18,8.37198606892494,0.088513122637694,2.12431494330466
289840926,28,8.36170307133177,0.066659812193957,1.59983549265497
289840928,28,8.25787986210869,0.066659812331638,1.5998354959593
8259902,21,8.14677785542696,0.105280897747034,2.52674154592882
332517282,2,8.01874184785082,0.057570892467218,1.38170141921323
120522722,2,7.95063596515703,0.100380104020559,2.40912249649341
389426731,1,7.80796284510121,0.099259419105569,2.38222605853366
201789285,2,7.54924840573826,0.050523866944512,1.21257280666828
234334620,2,7.4140023875682,0.129261689272329,3.10228054253589
351685943,25,7.25446007419404,0.08847997647591,2.12351943542184
298663983,21,7.0378583893844,0.089546309140809,2.14911141937942
364017175,12,6.77593840498803,0.147082669190287,3.52998406056688
298663983,26,6.63731437166388,0.089556366684114,2.14935280041873
34142502,6,6.6231598373326,0.10418719740571,2.50049273773705
150100106,9,6.4971076846863,0.082258098798715,1.97419437116915
86265580,20,6.41895806806749,0.1492667591443,3.5824022194632
70901653,5,6.22425054336719,0.088696458804375,2.12871501130499
406732126,22,6.00676816174454,0.082864082139838,1.9887379713561
345176678,13,5.96842757464994,0.183414984827598,4.40195963586234
164463430,26,5.77585240890846,0.092009191305711,2.20822059133707
389051009,1,5.61562712412274,0.143210380758498,3.43704913820396
298663983,25,5.55168076184156,0.089544754962215,2.14907411909316
38820496,1,5.42490173974033,0.163925835272197,3.93422004653272
193680874,25,5.40414966854065,0.135924914681817,3.2621979523636
402980664,26,5.17138120977171,0.110389202877625,2.64934086906299
286126698,25,5.10601051637585,0.175224473417275,4.20538736201459
298663983,19,5.0667346134983,0.089545705685152,2.14909693644364
302298728,1,5.04045469535883,0.173659786748652,4.16783488196766
234495456,1,4.9468184677466,0.190337840196141,4.56810816470739
298160985,22,4.91492448426444,0.143670738197599,3.44809771674238
320388380,25,4.91216500733927,0.221174045508762,5.3081770922103
44984200,9,4.74892413964836,0.112987937221424,2.71171049331418
50311775,2,4.72484728155204,0.193251050788022,4.63802521891254
244161191,3,4.72314404816257,0.074705277551401,1.79292666123361
50311775,13,4.72012611732083,0.233017287148928,5.59241489157427
