phi,flux,t,flux_err
0.0,642.4481100929236,1331.760794219078,5.3483853
0.02484506078771242,643.6044930771056,1331.7621831368283,5.3483853
0.0496901215835594,647.2055837112094,1331.763572054579,5.3483853
0.07453518239567547,647.2213646982523,1331.7649609723308,5.3483853
0.0993802431833879,645.1455033031488,1331.766349890081,5.3483853
0.12422530396703303,643.6262107183993,1331.7677388078312,5.3483853
0.1490703606142578,635.4651434271509,1331.76912772535,5.3483853
0.1739154214223066,645.0357381249647,1331.7705166431015,5.3483853
0.19876048221001902,637.7956629156473,1331.7719055608518,5.3483853
0.22360554299773144,644.7202889496203,1331.773294478602,5.3483853
0.24845060380984751,641.9359911931627,1331.7746833963538,5.3483853
0.2732956646056945,640.1196845415864,1331.7760723141046,5.3483853
0.2981407253934069,642.9656206723956,1331.7774612318549,5.3483853
0.32298578202436257,644.5663694795803,1331.7788501493728,5.3483853
0.34783084283647864,643.6243668522736,1331.7802390671245,5.3483853
0.3726759036363929,640.3261822971026,1331.7816279848755,5.3483853
0.39752096442003804,619.6093645662834,1331.7830169026256,5.3483853
0.4223660252199523,636.3794826546275,1331.7844058203766,5.3483853
0.4720561426508222,635.5704423694488,1331.7871836556455,5.3483853
0.4969012034507364,634.8051205466273,1331.7885725733966,5.3483853
0.5217462642343816,630.0540658078229,1331.7899614911466,5.3483853
0.5714363816815206,647.0039525288032,1331.7927393264165,5.3483853
0.5962814424814348,640.7804691994415,1331.7941282441675,5.3483853
0.62112650326508,648.2302158289082,1331.7955171619176,5.3483853
0.6459715640649942,645.873041590654,1331.7969060796686,5.3483853
0.670816620712219,651.0010147543732,1331.7982949971874,5.3483853
0.7205067422835766,650.1406970448509,1331.8010728326879,5.3483853
0.7453518030916254,660.4665341168926,1331.8024617504393,5.3483853
0.7701968597388501,675.2602665293415,1331.8038506679582,5.3483853
0.7950419205265624,666.1897055634504,1331.8052395857085,5.3483853
0.8198869813102077,678.3701743129499,1331.8066285034586,5.3483853
0.8447320379574325,686.7775934986352,1331.8080174209774,5.3483853
0.8695770987573466,700.717109264865,1331.8094063387284,5.3483853
0.8944221595409918,721.7394751089762,1331.8107952564785,5.3483853
0.9192672203409061,749.768004848018,1331.8121841742295,5.3483853
0.9441122769718617,792.2399300341542,1331.8135730917475,5.3483853
0.9689573377717758,810.9938509572842,1331.8149620094985,5.3483853
0.9938023985716902,856.2610697541242,1331.8163509272495,5.3483853
1.0186474552026459,881.628847102764,1331.8177398447674,5.3483853
1.04349251600256,893.4517790256955,1331.8191287625184,5.3483853
1.0683375768024743,899.8380030506565,1331.8205176802694,5.3483853
1.09318263343343,901.5934119294398,1331.8219065977873,5.3483853
1.1180276942211422,882.9389386389785,1331.8232955155377,5.3483853
1.1428727508520982,889.870297731946,1331.8246844330556,5.3483853
1.1677178116642142,878.9928238996014,1331.8260733508073,5.3483853
1.1925628724641284,858.4494506290611,1331.8274622685583,5.3483853
1.2174079290828823,861.2488350454514,1331.8288511860756,5.3483853
1.2422529898827963,852.0792005227926,1331.8302401038266,5.3483853
1.2670980465300212,856.3102899557732,1331.8316290213454,5.3483853
1.2919431073136665,835.5230285276238,1331.8330179390955,5.3483853
1.3167881681013787,841.4089379191729,1331.8344068568458,5.3483853
1.3416332247486036,841.3142035283031,1331.8357957743647,5.3483853
1.3664782855444504,840.2719008653837,1331.8371846921154,5.3483853
1.3913233421672715,828.3975035156143,1331.838573609633,5.3483853
1.4658585204102577,825.0214450325196,1331.8427403626536,5.3483853
1.490703581193903,821.3706280008946,1331.8441292804036,5.3483853
1.5155486378289256,828.0729988212853,1331.8455181979218,5.3483853
1.54039369862884,812.9828018831172,1331.8469071156728,5.3483853
1.5652387552597955,816.2938812925792,1331.8482960331908,5.3483853
1.5900838160597097,815.4984207762822,1331.8496849509418,5.3483853
1.6149288726947326,816.0575981629665,1331.85107386846,5.3483853
1.6397739334905794,810.3593487253057,1331.8524627862107,5.3483853
1.6646189901256028,792.6113096997881,1331.8538517037289,5.3483853
1.6894640509255168,800.082885388129,1331.8552406214799,5.3483853
1.714309107548338,787.3484114026812,1331.8566295389974,5.3483853
1.7391541683441851,791.0780478947548,1331.8580184567481,5.3483853
1.7639992249914096,796.9801625488241,1331.859407374267,5.3483853
1.788844285779122,794.9425656113954,1331.8607962920173,5.3483853
1.8136893423978762,782.3340237415863,1331.8621852095346,5.3483853
1.8385344032059245,771.2137323486163,1331.863574127286,5.3483853
1.8633794598531495,776.1425950663121,1331.8649630448049,5.3483853
1.8882245164759706,774.2679402651321,1331.8663519623224,5.3483853
1.9130695772636828,779.3118023263078,1331.8677408800727,5.3483853
1.9379146339068405,758.0374743965943,1331.8691297975913,5.3483853
1.9627596947067545,769.1523401446011,1331.8705187153423,5.3483853
1.9876047513295758,754.4604618200002,1331.8719076328598,5.3483853
2.0124498121254226,773.3351141340438,1331.8732965506106,5.3483853
2.0372948687726478,752.8976174329634,1331.8746854681294,5.3483853
2.0621399254036032,742.3117710274146,1331.8760743856474,5.3483853
2.086984986191316,748.0450836843952,1331.8774633033977,5.3483853
2.1118300428263383,739.9433586057677,1331.8788522209159,5.3483853
2.136675103626253,743.0960496227101,1331.8802411386669,5.3483853
2.1615201602572083,734.8592105678017,1331.8816300561848,5.3483853
2.1863652168881638,736.3049579206544,1331.8830189737027,5.3483853
2.2112102776758764,737.0194444634814,1331.884407891453,5.3483853
2.2360553343108993,733.84394816309,1331.8857968089712,5.3483853
2.260900390954057,735.948114153054,1331.8871857264899,5.3483853
2.285745451753971,726.5297838571935,1331.8885746442409,5.3483853
