phi,flux,t,flux_err,median_
0.0,657.156522446862,1358.0601965910028,15.408296,654.4331454815668
0.011562845807906322,656.5807052445355,1358.06087777215,15.408296,654.4331454815668
0.023123994009352465,660.3123101761128,1358.0615588532892,15.408296,654.4331454815668
0.0346868357453808,628.4364125859347,1358.0622400341965,15.408296,654.4331454815668
0.046246286460014364,652.013464813375,1358.0629210153347,15.408296,654.4331454815668
0.05780743466146051,636.3789013450242,1358.063602096474,15.408296,654.4331454815668
0.06936858299027344,654.8840540159854,1358.0642831776206,15.408296,654.4331454815668
0.08093142867467257,690.2310706080543,1358.0649643587606,15.408296,654.4331454815668
0.09249257687225912,640.1346934027872,1358.0656454398995,15.408296,654.4331454815668
0.10405542255665823,656.8036548998954,1358.0663266210395,15.408296,654.4331454815668
0.11561657076196398,664.0917355001093,1358.067007702179,15.408296,654.4331454815668
0.12717771896341012,638.8099697177778,1358.067688783318,15.408296,654.4331454815668
0.1387371658493205,653.6883515952397,1358.0683697642307,15.408296,654.4331454815668
0.15030001153371964,646.5003037410528,1358.0690509453707,15.408296,654.4331454815668
0.16186115973902537,627.6679730822605,1358.06973202651,15.408296,654.4331454815668
0.17342230793275232,671.1944107284332,1358.0704131076488,15.408296,654.4331454815668
0.18498515362101103,640.2849382986122,1358.071094288789,15.408296,654.4331454815668
0.19654630194596437,623.9237073144433,1358.0717753699355,15.408296,654.4331454815668
0.2081091476303635,649.9649580758557,1358.0724565510754,15.408296,654.4331454815668
0.21967029582795003,616.3670852516383,1358.0731376322144,15.408296,654.4331454815668
0.23122974259807239,667.8720386487014,1358.0738186131202,15.408296,654.4331454815668
0.24279089079951857,641.4641854973883,1358.0744996942594,15.408296,654.4331454815668
0.2543537364839177,635.4220967223539,1358.0751808753994,15.408296,654.4331454815668
0.2659148848127306,666.967960870806,1358.075861956546,15.408296,654.4331454815668
0.2774777304932701,662.7773073427471,1358.0765431376858,15.408296,654.4331454815668
0.2890388786947163,654.2214945573141,1358.077224218825,15.408296,654.4331454815668
0.30060002689616244,653.2770843558146,1358.0779052999642,15.408296,654.4331454815668
0.3121611711453782,656.7133702577568,1358.0785863808705,15.408296,654.4331454815668
0.32372231947033153,674.4353879097358,1358.079267462017,15.408296,654.4331454815668
0.3352834676717777,628.2823770989023,1358.0799485431562,15.408296,654.4331454815668
0.3468446158732238,656.5426742616231,1358.0806296242954,15.408296,654.4331454815668
0.3584074615614825,659.8084418693204,1358.0813108054356,15.408296,654.4331454815668
0.36996860975906903,654.3383671822935,1358.0819918865745,15.408296,654.4331454815668
0.38152975808402245,650.6856721964241,1358.082672967721,15.408296,654.4331454815668
0.3930925998123316,633.1317283931586,1358.083354148628,15.408296,654.4331454815668
0.4046537480176373,636.5596124960526,1358.0840352297673,15.408296,654.4331454815668
0.4162148962190834,674.2852418308369,1358.0847163109065,15.408296,654.4331454815668
0.42777604441667,653.1479781137774,1358.0853973920455,15.408296,654.4331454815668
0.4393371927493426,640.9400639007008,1358.0860784731924,15.408296,654.4331454815668
0.4508983409507886,661.7535464163792,1358.0867595543316,15.408296,654.4331454815668
0.4624594851922852,669.4891886992464,1358.0874406352375,15.408296,654.4331454815668
0.47402233087668433,663.7718680642952,1358.0881218163775,15.408296,654.4331454815668
0.4855834790819901,635.9986989200683,1358.0888028975169,15.408296,654.4331454815668
0.4971446272834363,644.3962431122462,1358.089483978656,15.408296,654.4331454815668
0.5087074730913426,662.1436992869675,1358.0901651598033,15.408296,654.4331454815668
0.5202669238059762,641.780400158384,1358.0908461409415,15.408296,654.4331454815668
0.5318280720112819,677.6859704399966,1358.091527222081,15.408296,654.4331454815668
0.5433909137434506,658.3114660587253,1358.092208402988,15.408296,654.4331454815668
0.5549520619448968,649.5504608497544,1358.0928894841272,15.408296,654.4331454815668
0.5665132102659904,663.2711182436766,1358.0935705652735,15.408296,654.4331454815668
0.5780760559542492,647.4551271463032,1358.0942517464136,15.408296,654.4331454815668
0.5896372041556953,666.0088785273058,1358.0949328275528,15.408296,654.4331454815668
0.6011983484087707,672.5672594549534,1358.0956139084594,15.408296,654.4331454815668
0.6127577991195446,651.506746960668,1358.0962948895974,15.408296,654.4331454815668
0.6243206449313106,650.0872154337814,1358.0969760707449,15.408296,654.4331454815668
0.6358817931327567,674.6274153665918,1358.097657151884,15.408296,654.4331454815668
0.6474446388171559,648.5351767743588,1358.098338333024,15.408296,654.4331454815668
0.6590057870186019,642.0524612913923,1358.0990194141632,15.408296,654.4331454815668
0.6705669312639582,654.9223102943429,1358.0997004950693,15.408296,654.4331454815668
0.6821297769522169,642.9870084028736,1358.1003816762095,15.408296,654.4331454815668
0.6936909252771701,669.7961341072678,1358.101062757356,15.408296,654.4331454815668
0.7052503759995229,648.5478129627243,1358.1017437384946,15.408296,654.4331454815668
0.7168132216839221,660.1791661017259,1358.1024249196346,15.408296,654.4331454815668
0.7283743698815086,636.0456859389452,1358.1031060007736,15.408296,654.4331454815668
0.739935514134584,651.7635828106768,1358.1037870816801,15.408296,654.4331454815668
0.7514983599424903,634.1938181252567,1358.1044682628274,15.408296,654.4331454815668
0.7630595081439365,650.3865799698838,1358.1051493439666,15.408296,654.4331454815668
0.774620656341523,642.0664771127356,1358.1058304251055,15.408296,654.4331454815668
0.7861835020259221,614.1680794045577,1358.1065116062455,15.408296,654.4331454815668
0.797744646275138,650.5830051862922,1358.1071926871518,15.408296,654.4331454815668
0.8093040971132786,668.5019333041703,1358.1078736682973,15.408296,654.4331454815668
0.8208669428015374,646.4276596094312,1358.1085548494375,15.408296,654.4331454815668
