,phi,flux,t,flux_err,median_,modelflux,modelflux_err
0,0.0,1691.3059169306796,1587.7514966205924,9.378408441392514,1690.6884518691493,1688.4572419697195,0.9926837629629692
1,0.07723841466731346,1682.566079295968,1587.7528854907305,9.368703801543916,1690.6884518691493,1689.0708589013066,0.9982118207235428
2,0.1544768228099112,1689.6722322399146,1587.7542743607517,9.373099379434414,1690.6884518691493,1689.6895594729847,1.003702969056908
3,0.23171523745193506,1703.642020184474,1587.7556632308892,9.378293456771745,1690.6884518691493,1690.3090049268628,1.0091115548231968
4,0.30895365206866937,1690.1544745104475,1587.7570521010266,9.375567260489444,1690.6884518691493,1690.9249685696393,1.0143965736329268
5,0.3861920667106932,1686.9502440293,1587.7584409711646,9.377341267528537,1690.6884518691493,1691.5333738554746,1.0195223357552663
6,0.4634304748532909,1688.0230895191198,1587.7598298411856,9.373739802075768,1690.6884518691493,1692.1303281703422,1.0244588241557349
7,0.5406688894953148,1696.8266411676739,1587.7612187113232,9.368614959587534,1690.6884518691493,1692.7121524983502,1.0291818614686563
8,0.6179073041120491,1697.1337491493325,1587.7626075814605,9.377528466876004,1690.6884518691493,1693.275405844817,1.033673016659825
9,0.6951457122799364,1690.9290418221353,1587.763996451482,9.379690315230064,1690.6884518691493,1693.8169051642014,1.0379193744614192
10,0.7723841268966707,1693.7941647900589,1587.7653853216193,9.380475099763263,1690.6884518691493,1694.3337402040906,1.0419131416483454
11,0.8496225415639841,1685.2141679800409,1587.7667741917576,9.446572630992254,1690.6884518691493,1694.8232829125461,1.0456511502794177
12,0.9268609497571608,1683.1238874480332,1587.7681630617794,9.380806996257666,1690.6884518691493,1695.2831923508036,1.049134302335764
13,1.00409936438654,1696.2081160805392,1587.769551931917,9.416228567430661,1690.6884518691493,1695.7114148901724,1.0523669596621912
14,1.0813377725417828,1683.8156706120062,1587.7709408019382,9.381434958167935,1690.6884518691493,1696.1061796946428,1.0553563443195688
15,1.1585761871585172,1694.7396729559405,1587.7723296720756,9.430148797926684,1690.6884518691493,1696.465990827271,1.0581119422292091
16,1.2358146018258305,1677.4537681045767,1587.7737185422138,9.396514929993517,1690.6884518691493,1696.7896154051975,1.0606449373407958
17,1.3130530100190072,1689.0464646625333,1587.7751074122355,9.392571948957784,1690.6884518691493,1697.0760692378658,1.0629676895486422
18,1.3902914246610312,1679.864828278587,1587.7764962823733,9.37047994255858,1690.6884518691493,1697.3246001530622,1.0650932878404644
19,1.467529832803629,1681.6879620727414,1587.7778851523944,9.397439315575891,1690.6884518691493,1697.5346694839081,1.0670351414803982
20,1.5447682474456528,1692.7616937551065,1587.7792740225323,9.389913589032453,1690.6884518691493,1697.7059329187302,1.0688066391352522
21,1.6220066555882506,1697.7711295753686,1587.7806628925532,9.491544238214924,1690.6884518691493,1697.8382207312804,1.0704208896370455
22,1.699245070255564,1682.981664723382,1587.7820517626917,9.379293887269725,1690.6884518691493,1697.9315185910798,1.0718904953079345
23,1.7764834784234511,1702.0797000436871,1587.7834406327127,9.378684155709976,1690.6884518691493,1697.9859490910876,1.073227383860332
24,1.853721893014896,1691.1943873981506,1587.7848295028498,9.376425296507804,1690.6884518691493,1698.0017549006861,1.0744427144596902
25,1.9309603011574936,1698.595398561389,1587.7862183728707,9.428655138003737,1690.6884518691493,1697.9792837765106,1.0755467888464982
26,2.0081987157995176,1682.0908870117566,1587.7876072430083,9.450051121210636,1690.6884518691493,1697.9189759902054,1.0765490382132998
27,2.0854371239926945,1702.4895339391949,1587.7889961130304,9.384297371168394,1690.6884518691493,1697.8213544533915,1.0774580045608535
28,2.1626755386473637,1698.8304136494262,1587.7903849831687,9.397630238003991,1690.6884518691493,1697.6870177119104,1.0782813749424185
29,2.2399139468026057,1691.7426165491052,1587.7917738531894,9.440310737373565,1690.6884518691493,1697.516636101294,1.0790260147170905
30,2.31715236141934,1685.7087998646607,1587.793162723327,9.39162218685584,1690.6884518691493,1697.310950832614,1.07969803307917
31,2.3943907695872277,1676.6422117060138,1587.7945515933484,9.410762733894217,1690.6884518691493,1697.0707762959478,1.0803028430378132
32,2.471629177729825,1697.8351724782694,1587.795940463369,9.386359808995413,1690.6884518691493,1696.797004976817,1.0808452604827226
33,2.5488675923971384,1690.0205906779156,1587.7973293335074,9.389071075887623,1690.6884518691493,1696.4906150974834,1.0813295464341497
34,2.6261060005903154,1697.1844529824884,1587.7987182035295,9.40041920974291,1690.6884518691493,1696.1526805272858,1.0817595419495225
35,2.70334441523234,1694.1051194739264,1587.8001070736673,9.3937558502476,1690.6884518691493,1695.7843821999102,1.0821387241022462
36,2.780582823374937,1700.5437402129755,1587.8014959436885,9.427937115098931,1690.6884518691493,1695.3870212264862,1.082470304275777
37,2.8578212315428244,1695.0275670273404,1587.8028848137094,9.385552337151983,1690.6884518691493,1694.9620323027466,1.0827573252452132
38,2.9350596462101377,1692.0188849874105,1587.804273683848,9.423370774670891,1690.6884518691493,1694.5109975458015,1.0830027550152708
39,3.0122980544033147,1694.1200771311271,1587.8056625538695,9.376977497929568,1690.6884518691493,1694.0356598942724,1.0832095748310058
40,3.0895364625206234,1686.560795131241,1587.8070514238905,9.384863812086033,1690.6884518691493,1693.5379350582205,1.083380875095676
41,3.1667748706252863,1690.0354730956024,1587.8084402939105,9.38680635073982,1690.6884518691493,1693.0199221329221,1.0835199515155904
42,3.244013285254665,1683.81281654934,1587.8098291640479,9.450518562608655,1690.6884518691493,1692.4839116869969,1.0836303971199452
