phi,flux,t,flux_err,median_,modelflux,modelflux_err
7.414887300221718,1693.5425840923417,1587.8848281447345,9.464984154279742,1690.6884518691493,1696.320062112745,1.2111245034013858
7.492125708389605,1695.9432249310194,1587.8862170147559,9.45046388057941,1690.6884518691493,1696.65782459438,1.214028506414089
7.569364110058067,1696.8946550485707,1587.8876058846604,9.406552898464849,1690.6884518691493,1696.958957953391,1.216763632662399
7.646602518251244,1684.0888950252265,1587.8889947546822,9.40028312382327,1690.6884518691493,1697.2226037189228,1.2193307632406467
7.723840919970284,1705.156958442487,1587.8903836245877,9.43652940220024,1690.6884518691493,1697.4481194032248,1.2217320040589783
7.801079328112881,1684.6844950765808,1587.8917724946086,9.428518897830296,1690.6884518691493,1697.6350603081935,1.2239705309562319
7.87831773628077,1688.87904619881,1587.89316136463,9.400931906168084,1690.6884518691493,1697.7831605531517,1.2260504559447742
7.95555613794923,1682.5292916892213,1587.8945502345346,9.402268677582102,1690.6884518691493,1697.892314476803,1.2279766574262183
8.032794546117119,1695.5824605125817,1587.895939104556,9.408682868710539,1690.6884518691493,1697.96255873938,1.2297546414891198
8.110032947836158,1682.8737174960115,1587.8973279744614,9.401723546602332,1690.6884518691493,1697.9940556622003,1.2313903819314556
8.187271356029335,1695.1470521136944,1587.8987168444833,9.4000754454633,1690.6884518691493,1697.9870784663924,1.2328901954017046
8.264509757697796,1680.5786065323337,1587.9001057143878,9.411868009569078,1690.6884518691493,1697.9419986571281,1.234260588391937
8.341748159391548,1694.6460704186466,1587.9014945842928,9.401444165094551,1690.6884518691493,1697.8592759817527,1.2355081514583712
8.418986567534144,1677.0475114444416,1587.9028834543137,9.399821231129303,1690.6884518691493,1697.7394511668952,1.2366394448837275
8.496224969253186,1694.5639283776545,1587.9042723242192,9.442807225716253,1690.6884518691493,1697.5831416555573,1.2376609107774383
8.573463377421072,1688.3402583317365,1587.9056611942406,9.432676422421094,1690.6884518691493,1697.3910402171002,1.2385787912877042
8.650701779064244,1697.4193105777958,1587.9070500641446,9.407334385731595,1690.6884518691493,1697.1639166819784,1.2393990906112093
8.72794018720684,1687.62249955257,1587.9084389341656,9.416058674173918,1690.6884518691493,1696.9026222384543,1.2401275198722435
8.805178588875304,1692.5130945653073,1587.9098278040701,9.453468210725257,1690.6884518691493,1696.6080965616545,1.2407695052261845
8.882416990569054,1693.337861137814,1587.911216673975,9.409961633273817,1690.6884518691493,1696.281376864148,1.2413301670902133
8.95965539876223,1675.4058341227064,1587.912605543997,9.499921902650282,1690.6884518691493,1695.9236089573803,1.2418143530381673
9.036893800481272,1685.2653072131943,1587.9139944139024,9.455827416093232,1690.6884518691493,1695.5360596950175,1.24222668624944
9.114132202149733,1687.1933219345374,1587.915383283807,9.479706662007661,1690.6884518691493,1695.120129934612,1.2425716119003878
9.191370610317621,1702.1000731414824,1587.9167721538283,9.413138534918083,1690.6884518691493,1694.6773679854793,1.2428534535311415
9.268609011986081,1688.4754291003046,1587.9181610237329,9.449540739708336,1690.6884518691493,1694.2094827297822,1.2430765297399788
9.34584741370512,1691.0065954771126,1587.9195498936383,9.40267666365185,1690.6884518691493,1693.7183554154742,1.2432452056526884
9.4230858218983,1687.5828655408404,1587.9209387636602,9.479241545494645,1690.6884518691493,1693.2060501954963,1.2433640073153043
9.500324223592049,1700.9117006200831,1587.9223276335651,9.458813304602637,1690.6884518691493,1692.6748225381286,1.2434377151842835
9.57756262526051,1691.102587094283,1587.9237165034697,9.472520663548286,1690.6884518691493,1692.1271245404912,1.243471458744648
9.654801026954262,1686.4896656759229,1587.9251053733747,9.427839821021958,1690.6884518691493,1691.565607482289,1.243470811915433
9.732039435096858,1684.4751165144262,1587.9264942433956,9.401539854762758,1690.6884518691493,1690.993120510973,1.2434418706213872
9.809277836815898,1701.7591446450533,1587.927883113301,9.397547023320525,1690.6884518691493,1690.412705661596,1.243391335633425
9.886516238497006,1687.9438714820863,1587.9292719832058,9.401059600075978,1690.6884518691493,1689.827588199563,1.2433265601745167
9.963754640127533,1679.354759480906,1587.9306608531097,9.45874943840583,1690.6884518691493,1689.2411630913682,1.243255592714561
10.040993041821283,1700.5857963199524,1587.9320497230146,9.397063340595396,1690.6884518691493,1688.6569768382594,1.2431872159966066
10.118231449963881,1690.9692439651117,1587.9334385930356,9.398323578544927,1690.6884518691493,1688.07870497435,1.2431309322705715
10.19546985168292,1693.086651434889,1587.934827462941,9.39846560942545,1690.6884518691493,1687.5101256295727,1.2430969503065654
10.27270825340196,1684.613123898831,1587.9362163328465,9.394108532787769,1690.6884518691493,1686.9550887125058,1.243096136352271
10.349946655095712,1677.7065166905522,1587.9376052027515,9.45360934260159,1690.6884518691493,1686.417482053597,1.243139960311194
10.427185056764174,1694.1021990240115,1587.938994072656,9.404028948942678,1690.6884518691493,1685.9011942513878,1.2432403798081502
10.504423458457923,1703.6858475043118,1587.940382942561,9.404379095410572,1690.6884518691493,1685.4100750679625,1.2434097429438624
10.581661860126385,1682.9185364279983,1587.9417718124655,9.391571450398391,1690.6884518691493,1684.947893956776,1.243660654112118
10.658900268319563,1683.8171271497267,1587.9431606824874,9.446466507730584,1690.6884518691493,1684.5182973756725,1.244005814119203
10.736138670038603,1687.8140522433823,1587.9445495523928,9.414896378081655,1690.6884518691493,1684.1247658367045,1.2444578334651892
10.813377071732353,1684.4192237197713,1587.9459384222978,9.454810980749548,1690.6884518691493,1683.7705709228155,1.24502908006916
10.890615473400816,1687.653912428228,1587.9473272922023,9.401153977577733,1690.6884518691493,1683.4587337768587,1.245731458606376
10.967853875081921,1698.2670964600984,1587.948716162107,9.52491770379988,1690.6884518691493,1683.1919852918634,1.2465762245813992
11.045092276788315,1689.7685793333221,1587.9501050320123,9.448244457226119,1690.6884518691493,1682.9727289811397,1.2475737765353194
11.122330678507357,1686.1769485654368,1587.9514939019177,9.400496414246607,1690.6884518691493,1682.8030072099625,1.2487334686271454
11.199569080150528,1691.6566903763305,1587.9528827718218,9.413527922463537,1690.6884518691493,1682.6844714537563,1.2500634310971184
11.2768074817937,1691.5442157838115,1587.9542716417259,9.396233645887397,1690.6884518691493,1682.6183571790878,1.2515703766843735
11.354045883487451,1704.8549606638844,1587.9556605116309,9.399961664355608,1690.6884518691493,1682.6054638615149,1.2532594688402972
11.431284285155913,1681.3031755679403,1587.9570493815354,9.410184961326783,1690.6884518691493,1682.6461405590214,1.2551341877005167
11.50852268687495,1688.1366510754597,1587.9584382514408,9.456510822892044,1690.6884518691493,1682.7402773561896,1.2571962126134213
11.585761088593992,1686.9724136332661,1587.9598271213463,9.389589375651358,1690.6884518691493,1682.8873028843207,1.2594453573651436
11.662999490287744,1688.3420099584037,1587.9612159912513,9.427592626532027,1690.6884518691493,1683.0861880044956,1.2618795311278088
11.740237891956204,1695.2646173384564,1587.9626048611558,9.42184874881263,1690.6884518691493,1683.3354556244428,1.2644947046933217
11.817476287175818,1691.3985171140666,1587.9639937309444,9.397902159633238,1690.6884518691493,1683.6331964738326,1.2672849596800486
11.89471468889486,1683.2590906294208,1587.9653826008498,9.396057396637557,1690.6884518691493,1683.977090731916,1.2702425204929484
11.9719530906139,1684.0183530550712,1587.9667714707552,9.390488676772467,1690.6884518691493,1684.364434751578,1.2733578630076139
12.049191492282361,1695.7355123607558,1587.9681603406598,9.40301586165457,1690.6884518691493,1684.792172906831,1.2766198090318814
12.126429893950823,1691.076171554756,1587.9695492105643,9.425586433150915,1690.6884518691493,1685.2569336347058,1.2800156904821975
12.203668295644572,1695.4901453956554,1587.9709380804693,9.40855565961301,1690.6884518691493,1685.7550691688064,1.2835314987707847
12.280906697313034,1691.8035807805572,1587.9723269503738,9.397573292388968,1690.6884518691493,1686.2826982370295,1.2871520868983601
12.358145092557939,1704.7627351275296,1587.9737158201629,9.418504730585926,1690.6884518691493,1686.8357509213072,1.2908613774953994
12.435383494276978,1701.1309757626004,1587.9751046900683,9.465410282536217,1690.6884518691493,1687.4100151690488,1.2946425609749042
12.51262189597073,1694.8900272016326,1587.9764935599733,9.430731734168761,1690.6884518691493,1688.0011834565792,1.2984783450488642
12.589860297613901,1694.6797435470216,1587.9778824298774,9.429020245325804,1690.6884518691493,1688.6048997283776,1.3023511533031185
12.667098699257071,1687.0063146962639,1587.9792712997814,9.407125317263008,1690.6884518691493,1689.2168051416354,1.306243372935942
