ampl_rec,cstart,cstop,ed_rec,ed_rec_err,istart,istop,total_n_valid_data_points,tstart,tstop,obst
0.17434412739196703,,,28.217182683786454,2.7397077388651487,17774,17777,34810.0,1286.4399133834158,1286.4419568297526,2183.7166666666667
0.5135042344533256,,,66.2084113937961,2.593850793416169,19523,19526,34810.0,1287.631219221803,1287.6332626667427,2183.7166666666667
0.3144392386161001,,,541.1605525624575,10.484209965562309,25342,25390,34810.0,1298.53955880156,1298.5722530811909,2183.7166666666667
0.461197863784526,,,63.29433277873933,2.6605996978794026,26688,26691,34810.0,1299.4563597697634,1299.4584030984042,2183.7166666666667
2.492001994909342,,,852.9091932019528,5.947938308037385,30803,30832,34810.0,1302.2680604873894,1302.2878131255711,2183.7166666666667
0.3294233395382682,,,51.18313496591404,3.059037085880463,34595,34599,34810.0,1304.859751480275,1304.8624759082159,2183.7166666666667
3.3470518771091378,,,2963.4986597694674,9.4264821546083,34701,34782,34810.0,1304.931950916718,1304.9871221769063,2183.7166666666667
0.45349422128006744,,,119.78288428268445,3.933160292821468,24818,24826,44148.0,1323.1111119353664,1323.1172420160437,2183.7166666666667
1.5576390645809597,,,765.6049172427148,7.120176840277896,43936,43966,44148.0,1336.166037377996,1336.1864706169945,2183.7166666666667
0.3914711755049922,,,383.79535632158456,7.840932090651059,43978,44004,44148.0,1336.194644012452,1336.2123529856763,2183.7166666666667
0.8150085187942191,,,221.94124238697964,4.025350034749005,488,495,49958.0,1337.5016962644731,1337.5064639990524,2183.7166666666667
0.3971764756948737,,,68.93986772150005,3.263699117021034,5152,5157,49958.0,1340.6872476555,1340.6906533010188,2183.7166666666667
1.0652462398938205,,,499.36068479085236,5.97400009893666,17089,17108,49958.0,1348.863259304031,1348.8762003230077,2183.7166666666667
0.40526829605941983,,,50.81260555033093,2.626460278077698,22437,22440,49958.0,1352.5146606324997,1352.516703883135,2183.7166666666667
0.3734494132517465,,,48.24204222176038,2.64542142999418,29440,29443,49958.0,1357.3021308291136,1357.3041740734698,2183.7166666666667
0.44388036251021434,,,64.74630624917005,2.83654104578238,37107,37111,49958.0,1362.5329823119027,1362.5357066290162,2183.7166666666667
